BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.1730404128336845e7,74625.61279131455,-89669.74112816033,0.0,0.0,0.0,1.447734754419853e-13,0.0,0.0,-1.171536e7
t1,32321.60097483931,4.5252478210973056e-13,-6431.600974839308,0.0,0.0,0.0,4.265435447492e-16,0.0,0.0,-25890.0
t2,24360.839938159108,4.151458068180809e-12,-175.83993815911148,0.0,0.0,0.0,4.2699638545055465e-16,0.0,0.0,-24185.0
t3,23819.74216147524,4.142057643513006e-12,-186.74216147524413,0.0,0.0,0.0,4.2699638693285584e-16,0.0,0.0,-23633.0
t4,23567.038661245304,4.1366269549521536e-12,-198.0386612453045,0.0,0.0,0.0,4.2699638796516554e-16,0.0,0.0,-23369.0
t5,23746.678382110338,4.1401772875051205e-12,-193.67838211034467,0.0,0.0,0.0,4.2699638619170525e-16,0.0,0.0,-23553.0
t6,24743.078256397836,4.1827662526346456e-12,-140.078256397835,0.0,0.0,0.0,4.2699638799162077e-16,0.0,0.0,-24603.0
t7,26267.734467525817,4.185034358692943e-12,-150.73446752582413,0.0,0.0,0.0,4.2699638915630764e-16,0.0,0.0,-26117.0
t8,27932.95530022127,4.170940806301175e-12,-171.95530022127372,0.0,0.0,0.0,4.2699639066506407e-16,0.0,0.0,-27761.0
t9,29422.62702599124,4.15766278753149e-12,-191.6270259912434,0.0,0.0,0.0,4.2699638947392197e-16,0.0,0.0,-29231.0
t10,31209.173063257644,4.152950515832457e-12,-196.1730632576472,0.0,0.0,0.0,4.269963894210115e-16,0.0,0.0,-31013.0
t11,32121.536696942072,4.194623353869004e-12,-146.53669694207653,0.0,0.0,0.0,4.269963891827629e-16,0.0,0.0,-31975.0
t12,33783.059496794165,4.196178039610267e-12,-162.05949679417625,0.0,0.0,0.0,4.269963900827459e-16,0.0,0.0,-33621.0
t13,35135.347420237376,4.1809783669234785e-12,-179.34742023738835,0.0,0.0,0.0,4.269963920150386e-16,0.0,0.0,-34956.0
t14,33670.16523447845,4.166571244831569e-12,-195.16523447845117,0.0,0.0,0.0,4.269963904003602e-16,0.0,0.0,-33475.0
t15,32390.955562815754,4.163421662996627e-12,-188.95556281575915,0.0,0.0,0.0,4.2699639018861733e-16,0.0,0.0,-32202.0
t16,31476.651910482262,4.210803997494628e-12,-133.65191048226762,0.0,0.0,0.0,4.269963920150386e-16,0.0,0.0,-31343.0
t17,32406.140364658466,4.2083713057495815e-12,-143.14036465846635,0.0,0.0,0.0,4.269963949267305e-16,0.0,0.0,-32263.0
t18,33331.10334516927,4.197251420243467e-12,-161.10334516927793,0.0,0.0,0.0,4.2699639413261893e-16,0.0,0.0,-33170.0
t19,37322.561771946195,4.178152624561686e-12,-179.56177194620204,0.0,0.0,0.0,4.269963987913159e-16,0.0,0.0,-37143.0
t20,37241.25767978772,4.1734099595309e-12,-181.2576797877179,0.0,0.0,0.0,4.2699639754721283e-16,0.0,0.0,-37060.0
t21,36624.23891375578,4.2151339990131815e-12,-138.23891375578017,0.0,0.0,0.0,4.2699639728250897e-16,0.0,0.0,-36486.0
t22,35365.44756589568,4.219419613734068e-12,-147.44756589569238,0.0,0.0,0.0,4.2699639556200965e-16,0.0,0.0,-35218.0
t23,33559.974207223786,4.200095087809312e-12,-166.974207223794,0.0,0.0,0.0,4.2699639519143435e-16,0.0,0.0,-33393.0
t24,30577.8712739732,4.180998314380021e-12,-182.8712739732052,0.0,0.0,0.0,4.269963939473313e-16,0.0,0.0,-30395.0
t25,27022.072390270034,4.176640926444979e-12,-182.07239027004118,0.0,0.0,0.0,4.2699639034744974e-16,0.0,0.0,-26840.0
t26,26159.80349010513,4.215402126101081e-12,-133.8034901051342,0.0,0.0,0.0,4.269963919620776e-16,0.0,0.0,-26026.0
t27,25650.44222995174,4.214927139836884e-12,-147.44222995174468,0.0,0.0,0.0,4.2699639130034322e-16,0.0,0.0,-25503.0
