Zone,1,Total
AnnualSum,3.109376797705155e6,3.109376797705155e6
t1,7879.639801452599,7879.639801452599
t2,8139.618190614827,8139.618190614827
t3,8183.499288776545,8183.499288776545
t4,8237.078878991433,8237.078878991433
t5,8637.925941383297,8637.925941383297
t6,9439.432495789746,9439.432495789746
t7,10424.259326861713,10424.259326861713
t8,11435.28543322469,11435.28543322469
t9,12015.629185723647,12015.629185723647
t10,12061.077089599667,12061.077089599667
t11,12026.078893722193,12026.078893722193
t12,11996.689499192362,11996.689499192362
t13,11724.858287374893,11724.858287374893
t14,10315.425938046072,10315.425938046072
t15,9915.311103982447,9915.311103982447
t16,10252.27699863129,10252.27699863129
t17,11193.29697358765,11193.29697358765
t18,11401.422256924154,11401.422256924154
t19,12061.07708959982,12061.07708959982
t20,12061.077089599808,12061.077089599808
t21,12061.077089599812,12061.077089599812
t22,12037.847733386972,12037.847733386972
t23,11473.073769509048,11473.073769509048
t24,10501.825248565998,10501.825248565998
t25,9489.12635414414,9489.12635414414
t26,9292.376338406622,9292.376338406622
t27,9115.510518245695,9115.510518245695
t28,9333.853070544783,9333.853070544783
t29,9667.631337263732,9667.631337263732
t30,10374.24259895886,10374.24259895886
t31,11964.380056910188,11964.380056910188
t32,12061.077089600003,12061.077089600003
t33,12061.077089600001,12061.077089600001
t34,12061.077089600001,12061.077089600001
t35,12061.077089599896,12061.077089599896
t36,12061.077089599881,12061.077089599881
t37,12060.799001586465,12060.799001586465
t38,12058.280303475827,12058.280303475827
t39,11873.57278661421,11873.57278661421
t40,12060.826614900461,12060.826614900461
t41,12061.077089600003,12061.077089600003
t42,12061.077089600001,12061.077089600001
t43,12061.077089600001,12061.077089600001
t44,12061.077089599974,12061.077089599974
t45,12061.077089599941,12061.077089599941
t46,11082.923132513217,11082.923132513217
t47,9901.04622438513,9901.04622438513
t48,9001.63346214384,9001.63346214384
t49,8250.579196809605,8250.579196809605
t50,7678.3669094287825,7678.3669094287825
t51,7316.738877133701,7316.738877133701
t52,7364.352644998826,7364.352644998826
t53,7473.900841762547,7473.900841762547
t54,8170.658161071654,8170.658161071654
t55,9656.078533078735,9656.078533078735
t56,11653.140838070143,11653.140838070143
t57,11385.233012937839,11385.233012937839
t58,10994.069171295409,10994.069171295409
t59,10259.335625141597,10259.335625141597
t60,10168.040866534498,10168.040866534498
t61,10297.668024141884,10297.668024141884
t62,9619.235819516825,9619.235819516825
t63,9619.074224604232,9619.074224604232
t64,10544.041410639833,10544.041410639833
t65,11603.428079034004,11603.428079034004
t66,12061.077089599712,12061.077089599712
t67,12061.07708959971,12061.07708959971
t68,11557.326405516897,11557.326405516897
t69,11216.453497623597,11216.453497623597
t70,10006.52671574112,10006.52671574112
t71,9151.082467344642,9151.082467344642
t72,8382.76885307673,8382.76885307673
t73,7655.976592756391,7655.976592756391
t74,7246.825710326691,7246.825710326691
t75,7194.189713269603,7194.189713269603
t76,7365.026412546126,7365.026412546126
t77,7352.268963015071,7352.268963015071
t78,7918.963626258108,7918.963626258108
t79,9363.067094519425,9363.067094519425
t80,11082.05722499545,11082.05722499545
t81,11175.155062057933,11175.155062057933
t82,10430.79827148098,10430.79827148098
t83,9656.269035876228,9656.269035876228
t84,9595.94633745168,9595.94633745168
t85,9693.776249108621,9693.776249108621
t86,8857.54967513953,8857.54967513953
t87,8085.335469866689,8085.335469866689
t88,8769.604720949346,8769.604720949346
t89,9947.114786404196,9947.114786404196
t90,10992.851946709447,10992.851946709447
t91,11208.511911277477,11208.511911277477
t92,10222.135833015973,10222.135833015973
t93,10064.558494180112,10064.558494180112
t94,8503.970390075834,8503.970390075834
t95,7687.4193166866335,7687.4193166866335
t96,6915.791040220153,6915.791040220153
t97,6326.630291143347,6326.630291143347
t98,6213.837347190547,6213.837347190547
t99,6163.758896269942,6163.758896269942
t100,6370.018911756944,6370.018911756944
t101,6710.421371402236,6710.421371402236
t102,7486.273988348459,7486.273988348459
t103,9255.481941043516,9255.481941043516
t104,11206.203128422916,11206.203128422916
t105,11566.5737602231,11566.5737602231
t106,11179.211119752885,11179.211119752885
t107,10398.69737272715,10398.69737272715
t108,10723.85778557677,10723.85778557677
t109,10569.430781936251,10569.430781936251
t110,9706.25287728197,9706.25287728197
t111,9654.28021322305,9654.28021322305
t112,10684.078579116454,10684.078579116454
t113,12061.077089599461,12061.077089599461
t114,12061.077089599463,12061.077089599463
t115,12061.077089599463,12061.077089599463
t116,12061.077089599476,12061.077089599476
t117,12061.077089599468,12061.077089599468
t118,10572.525643492083,10572.525643492083
t119,9597.65625356544,9597.65625356544
t120,8777.812106816747,8777.812106816747
t121,8029.552727706658,8029.552727706658
t122,7622.218197191517,7622.218197191517
t123,7403.573009564517,7403.573009564517
t124,7379.072032430904,7379.072032430904
t125,7336.976832879209,7336.976832879209
t126,7850.360287698298,7850.360287698298
t127,8923.64291564525,8923.64291564525
t128,10629.778291119192,10629.778291119192
t129,10933.175399181113,10933.175399181113
t130,10906.576497666105,10906.576497666105
t131,10395.143600913987,10395.143600913987
t132,10495.673484628749,10495.673484628749
t133,10827.95582360016,10827.95582360016
t134,10348.693359189772,10348.693359189772
t135,10458.689650889719,10458.689650889719
t136,10914.597932393763,10914.597932393763
t137,10795.913121710853,10795.913121710853
t138,11503.176514045668,11503.176514045668
t139,11131.982718517113,11131.982718517113
t140,9863.695708136414,9863.695708136414
t141,9398.133947497532,9398.133947497532
t142,8022.5898368512235,8022.5898368512235
t143,7202.751618760779,7202.751618760779
t144,6462.708158561392,6462.708158561392
t145,5969.6206078500745,5969.6206078500745
