Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,500854.56168838247,7664.721921528944,0.19448045104761866
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,7.1388593407159234e-9,6.730260793119669e-11,0.0
battery_2,1,37998.09219881076,4336.538287503654,0.0
fixed_offshore_wind_2,1,1.0066018450837532e6,5946.0,0.5038410401369033
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,9.513173024244647e6,36901.0,0.7672695849193536
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,360436.15684857627,1960.5,0.5471699348571433
pumped_hydro_2,1,15636.853199205185,1698.0435821753251,0.0
