Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,4.445804875004206e-9,7.639755494892597e-11,0.0
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,5.067656387922975e-9,7.821654435247183e-11,0.0
battery_2,1,43287.05294829914,4813.0,0.0
fixed_offshore_wind_2,1,925310.0325156085,5946.0,0.46315151468154286
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,7.462761049246899e6,36900.99999999999,0.6018969231417541
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,257108.1959756877,1960.4999999999998,0.39031010671428534
pumped_hydro_2,1,10869.61609657712,1797.9999999999998,0.0
