Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t618,0.0,0.0,3065.998924862475,0.0,3065.998924862475
t619,0.0,0.0,0.0,0.0,0.0
t620,0.0,0.0,14.40015184268617,0.0,14.40015184268617
t621,0.0,0.0,0.0,0.0,0.0
t622,0.0,0.0,15418.674885396324,0.0,15418.674885396324
t623,0.0,0.0,0.0,0.0,0.0
t624,0.0,0.0,11438.360779413055,0.0,11438.360779413055
t625,0.0,0.0,0.0,0.0,0.0
t626,0.0,0.0,6185.494373487936,0.0,6185.494373487936
t627,0.0,0.0,0.0,0.0,0.0
t628,0.0,0.0,0.0,0.0,0.0
t629,0.0,0.0,0.0,0.0,0.0
t630,0.0,0.0,0.0,0.0,0.0
t631,0.0,0.0,0.0,0.0,0.0
t632,0.0,0.0,0.0,0.0,0.0
t633,0.0,0.0,2513.5162246542727,0.0,2513.5162246542727
t634,0.0,0.0,2774.000554996154,0.0,2774.000554996154
t635,0.0,0.0,3217.515553135352,0.0,3217.515553135352
t636,0.0,0.0,3644.471542630292,0.0,3644.471542630292
t637,0.0,0.0,5927.968189083255,0.0,5927.968189083255
t638,0.0,0.0,11510.303547346997,0.0,11510.303547346997
t639,0.0,0.0,11983.727331551334,0.0,11983.727331551334
t640,0.0,0.0,16553.749628062953,0.0,16553.749628062953
t641,0.0,0.0,19879.832080156553,0.0,19879.832080156553
t642,0.0,0.0,8392.394986769887,0.0,8392.394986769887
t643,0.0,0.0,13222.89782514767,0.0,13222.89782514767
t644,0.0,0.0,3412.297061802567,0.0,3412.297061802567
t645,0.0,0.0,0.0,0.0,0.0
t646,0.0,0.0,0.0,0.0,0.0
t647,0.0,0.0,0.0,0.0,0.0
t648,0.0,0.0,0.0,0.0,0.0
t649,0.0,0.0,0.0,0.0,0.0
t650,0.0,0.0,0.0,0.0,0.0
t651,0.0,0.0,0.0,0.0,0.0
t652,0.0,0.0,0.0,0.0,0.0
t653,0.0,0.0,0.0,0.0,0.0
t654,0.0,0.0,0.0,0.0,0.0
t655,0.0,0.0,0.0,0.0,0.0
t656,0.0,0.0,0.0,0.0,0.0
t657,0.0,0.0,0.0,0.0,0.0
t658,0.0,0.0,1415.2927844387584,0.0,1415.2927844387584
t659,0.0,0.0,1356.7793203293174,0.0,1356.7793203293174
t660,0.0,0.0,868.691757422006,0.0,868.691757422006
t661,0.0,3826.5795664623356,2839.299603180226,0.0,6665.8791696425615
t662,0.0,0.0,2410.0066827633796,0.0,2410.0066827633796
t663,0.0,0.0,4566.237560032116,0.0,4566.237560032116
t664,0.0,0.0,9767.328044472317,0.0,9767.328044472317
t665,0.0,0.0,9544.247386939025,0.0,9544.247386939025
t666,0.0,0.0,13802.2750494876,0.0,13802.2750494876
t667,0.0,0.0,10117.877911758613,0.0,10117.877911758613
t668,0.0,0.0,0.0,0.0,0.0
t669,0.0,0.0,9678.434204682744,0.0,9678.434204682744
t670,0.0,0.0,0.0,0.0,0.0
t671,0.0,0.0,0.0,0.0,0.0
t672,0.0,0.0,0.0,0.0,0.0
t673,0.0,0.0,0.0,0.0,0.0
t674,0.0,0.0,0.0,0.0,0.0
t675,0.0,0.0,0.0,0.0,0.0
t676,0.0,0.0,11611.872051037542,0.0,11611.872051037542
t677,0.0,0.0,3606.6903395638583,0.0,3606.6903395638583
t678,0.0,0.0,6331.672781193305,0.0,6331.672781193305
t679,0.0,0.0,9150.786344553437,0.0,9150.786344553437
t680,0.0,0.0,0.0,0.0,0.0
t681,0.0,0.0,0.0,0.0,0.0
t682,0.0,0.0,0.0,0.0,0.0
t683,0.0,0.0,323.02392481527954,0.0,323.02392481527954
t684,0.0,0.0,2815.481118408357,0.0,2815.481118408357
t685,0.0,0.0,7370.931310969101,0.0,7370.931310969101
t686,0.0,0.0,0.0,0.0,0.0
t687,0.0,0.0,0.0,0.0,0.0
t688,0.0,0.0,1703.8483521472995,0.0,1703.8483521472995
t689,0.0,0.0,0.0,0.0,0.0
t690,0.0,0.0,0.0,0.0,0.0
t691,0.0,0.0,0.0,0.0,0.0
t692,0.0,0.0,0.0,0.0,0.0
t693,0.0,0.0,0.0,0.0,0.0
t694,0.0,0.0,0.0,0.0,0.0
t695,0.0,0.0,0.0,0.0,0.0
t696,0.0,0.0,0.0,0.0,0.0
