Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
NE,natural_gas_combined_cycle,1,1,1.1396158246724703e9,1.1396158246724703e9
NE,solar_pv,1,1,1.2746606255418524e8,1.2746606255418524e8
NE,onshore_wind,1,1,1.0202432792416424e7,1.0202432792416424e7
NE,battery,1,0,9.711552154263051e7,9.711552154263051e7
