Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_combined_cycle,1,1.5536027598588983e7,15056.955945835736,0.11778736277365197
solar_pv,1,4.897663323210566e7,30584.304204802243,0.18280421974749267
onshore_wind,1,5.962319505298039e7,31538.806185208363,0.21580717942098324
battery,1,2.4889297731711857e7,9079.751588348143,0.0
