Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,22.936888975246124
t2,0.0,0.0,0.0,22.936888975246124
t3,0.0,0.0,0.0,22.936888975246124
t4,0.0,0.0,0.0,22.936888975246124
t5,0.0,0.0,0.0,22.936888975246124
t6,0.0,0.0,0.0,22.936888975246124
t7,0.0,0.0,0.0,22.936888975246124
t8,0.0,0.0,0.0,22.936888975246124
t9,0.0,0.0,0.0,22.936888975246124
t10,0.0,0.0,0.0,22.936888975246124
t11,0.0,0.0,0.0,22.936888975246124
t12,0.0,0.0,0.0,22.936888975246124
t13,0.0,0.0,0.0,22.936888975246124
t14,0.0,0.0,0.0,22.936888975246124
t15,0.0,0.0,0.0,22.936888975246124
t16,0.0,0.0,0.0,22.936888975246124
t17,0.0,0.0,0.0,22.936888975246124
t18,0.0,0.0,0.0,22.936888975246124
t19,0.0,0.0,0.0,22.936888975246124
t20,0.0,0.0,0.0,22.936888975246124
t21,0.0,0.0,0.0,22.936888975246127
t22,0.0,0.0,0.0,22.936888975246124
t23,0.0,0.0,0.0,22.936888975246124
t24,0.0,0.0,0.0,22.936888975246124
t25,0.0,0.0,0.0,22.936888975246127
t26,0.0,0.0,0.0,22.936888975246124
t27,0.0,0.0,0.0,22.936888975246124
t28,0.0,0.0,0.0,22.936888975246124
t29,0.0,0.0,0.0,22.936888975246124
t30,0.0,0.0,0.0,22.936888975246124
t31,0.0,0.0,0.0,22.936888975246124
t32,0.0,0.0,0.0,22.936888975246124
t33,0.0,0.0,0.0,22.936888975246124
t34,0.0,0.0,0.0,22.936888975246124
t35,0.0,0.0,0.0,22.936888975246124
t36,0.0,0.0,0.0,22.936888975246124
t37,0.0,0.0,0.0,22.936888975246124
t38,0.0,0.0,0.0,22.936888975246124
t39,0.0,0.0,0.0,22.936888975246124
t40,0.0,0.0,0.0,22.936888975246124
t41,0.0,0.0,0.0,22.936888975246124
t42,0.0,0.0,0.0,22.936888975246124
t43,0.0,0.0,0.0,22.936888975246124
t44,0.0,0.0,0.0,22.936888975246124
t45,0.0,0.0,0.0,22.936888975246124
t46,0.0,0.0,0.0,22.936888975246124
t47,0.0,0.0,0.0,22.936888975246124
t48,0.0,0.0,0.0,22.936888975246124
t49,0.0,0.0,0.0,22.936888975246124
t50,0.0,0.0,0.0,22.936888975246124
t51,0.0,0.0,0.0,22.936888975246124
t52,0.0,0.0,0.0,22.936888975246124
t53,0.0,0.0,0.0,22.936888975246124
t54,0.0,0.0,0.0,22.936888975246124
t55,0.0,0.0,0.0,22.936888975246124
t56,0.0,0.0,0.0,22.936888975246124
t57,0.0,0.0,0.0,22.936888975246124
t58,0.0,0.0,0.0,22.936888975246124
t59,0.0,0.0,0.0,22.936888975246124
t60,0.0,0.0,0.0,22.936888975246124
t61,0.0,0.0,0.0,22.936888975246124
t62,0.0,0.0,0.0,22.936888975246124
t63,0.0,0.0,0.0,22.936888975246124
t64,0.0,0.0,0.0,22.936888975246124
t65,0.0,0.0,0.0,22.936888975246124
t66,0.0,0.0,0.0,22.936888975246124
t67,0.0,0.0,0.0,22.936888975246124
t68,0.0,0.0,0.0,22.936888975246124
t69,0.0,0.0,0.0,22.936888975246124
t70,0.0,0.0,0.0,22.936888975246124
t71,0.0,0.0,0.0,22.936888975246124
t72,0.0,0.0,0.0,22.936888975246124
t73,0.0,0.0,0.0,22.936888975246124
t74,0.0,0.0,0.0,22.936888975246124
t75,0.0,0.0,0.0,22.936888975246124
t76,0.0,0.0,0.0,22.936888975246124
t77,0.0,0.0,0.0,22.936888975246124
t78,0.0,0.0,0.0,22.936888975246124
t79,0.0,0.0,0.0,22.936888975246127
t80,0.0,0.0,0.0,22.936888975246124
t81,0.0,0.0,0.0,22.936888975246124
t82,0.0,0.0,0.0,22.936888975246124
t83,0.0,0.0,0.0,22.936888975246124
t84,0.0,0.0,0.0,22.936888975246124
t85,0.0,0.0,0.0,22.936888975246124
t86,0.0,0.0,0.0,22.936888975246124
t87,0.0,0.0,0.0,1.7968749999999913
t88,0.0,0.0,0.0,-197.16105938248066
t89,0.0,0.0,0.0,-197.16105938248066
t90,0.0,0.0,0.0,-197.16105938248066
t91,0.0,0.0,0.0,-197.16105938248066
t92,0.0,0.0,0.0,-197.16105938248066
t93,0.0,0.0,0.0,-197.16105938248066
t94,0.0,0.0,0.0,-197.16105938248066
t95,0.0,0.0,0.0,-197.16105938248066
t96,0.0,0.0,0.0,-197.16105938248066
t97,0.0,0.0,0.0,-197.16105938248066
t98,0.0,0.0,0.0,-197.16105938248066
t99,0.0,0.0,0.0,-197.16105938248066
t100,0.0,0.0,0.0,-197.16105938248066
t101,0.0,0.0,0.0,-197.16105938248066
t102,0.0,0.0,0.0,-197.16105938248066
t103,0.0,0.0,0.0,-197.16105938248066
t104,0.0,0.0,0.0,-197.16105938248066
t105,0.0,0.0,0.0,-197.16105938248066
t106,0.0,0.0,0.0,19.68978282864832
t107,0.0,0.0,0.0,22.936888975246124
t108,0.0,0.0,0.0,22.936888975246124
t109,0.0,0.0,0.0,22.936888975246124
t110,0.0,0.0,0.0,22.936888975246124
t111,0.0,0.0,0.0,22.936888975246124
t112,0.0,0.0,0.0,22.936888975246124
t113,0.0,0.0,0.0,22.936888975246124
t114,0.0,0.0,0.0,22.936888975246124
t115,0.0,0.0,0.0,22.936888975246124
t116,0.0,0.0,0.0,-198.64371608847495
t117,0.0,0.0,0.0,-198.64371608847495
t118,0.0,0.0,0.0,-204.55997416172178
t119,0.0,0.0,0.0,-204.55997416172178
t120,0.0,0.0,0.0,-204.55997416172178
t121,0.0,0.0,0.0,-204.55997416172178
t122,0.0,0.0,0.0,-204.55997416172178
t123,0.0,0.0,0.0,-204.55997416172178
t124,0.0,0.0,0.0,-204.55997416172178
t125,0.0,0.0,0.0,-204.55997416172178
