Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t882,0.0,0.0,0.0,3683.0586532264497,3683.0586532264497
t883,0.0,0.0,0.0,6152.027555989475,6152.027555989475
t884,0.0,0.0,0.0,2359.5382885894596,2359.5382885894596
t885,0.0,0.0,0.0,1697.8454266451415,1697.8454266451415
t886,0.0,0.0,0.0,5953.903114500408,5953.903114500408
t887,0.0,0.0,0.0,5496.677104956661,5496.677104956661
t888,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t889,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t890,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t891,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t892,0.0,0.0,0.0,-0.0,0.0
t893,0.0,0.0,0.0,6260.9647188429935,6260.9647188429935
t894,0.0,0.0,0.0,8491.664594980897,8491.664594980897
t895,0.0,0.0,0.0,3456.266310688301,3456.266310688301
t896,0.0,0.0,0.0,0.0,0.0
t897,0.0,0.0,0.0,4729.753168572461,4729.753168572461
t898,0.0,0.0,0.0,1483.444745239084,1483.444745239084
t899,0.0,0.0,0.0,5760.79549419674,5760.79549419674
t900,0.0,0.0,0.0,0.0,0.0
t901,0.0,0.0,0.0,3374.67238018052,3374.67238018052
t902,0.0,0.0,0.0,5682.830182660616,5682.830182660616
t903,0.0,0.0,0.0,6892.78944472343,6892.78944472343
t904,0.0,0.0,0.0,0.0,0.0
t905,0.0,0.0,0.0,0.0,0.0
t906,0.0,0.0,0.0,0.0,0.0
t907,0.0,0.0,0.0,0.0,0.0
t908,0.0,0.0,0.0,0.0,0.0
t909,0.0,0.0,0.0,0.0,0.0
t910,0.0,0.0,0.0,4606.033046812355,4606.033046812355
t911,0.0,0.0,0.0,0.0,0.0
t912,0.0,0.0,0.0,5858.015512882539,5858.015512882539
t913,0.0,0.0,0.0,5032.301403595202,5032.301403595202
t914,0.0,0.0,0.0,0.0,0.0
t915,0.0,0.0,0.0,0.0,0.0
t916,0.0,0.0,0.0,0.0,0.0
t917,0.0,0.0,0.0,0.0,0.0
t918,0.0,0.0,0.0,0.0,0.0
t919,0.0,0.0,0.0,0.0,0.0
t920,0.0,0.0,0.0,0.0,0.0
t921,0.0,0.0,0.0,0.0,0.0
t922,0.0,0.0,0.0,0.0,0.0
t923,0.0,0.0,0.0,1095.2026730197433,1095.2026730197433
t924,0.0,0.0,0.0,1533.3399411085045,1533.3399411085045
t925,0.0,0.0,0.0,4012.773644715907,4012.773644715907
t926,0.0,0.0,0.0,4236.985638090676,4236.985638090676
t927,0.0,0.0,0.0,3607.425317087191,3607.425317087191
t928,0.0,0.0,0.0,2141.8799359510795,2141.8799359510795
t929,0.0,0.0,0.0,688.7038145304148,688.7038145304148
t930,0.0,0.0,0.0,0.0,0.0
t931,0.0,0.0,0.0,869.9443399517088,869.9443399517088
t932,0.0,0.0,0.0,0.0,0.0
t933,0.0,0.0,0.0,1681.3296220060674,1681.3296220060674
t934,0.0,0.0,0.0,0.0,0.0
t935,0.0,0.0,0.0,0.0,0.0
t936,0.0,0.0,0.0,0.0,0.0
t937,0.0,0.0,0.0,2946.820549434418,2946.820549434418
t938,0.0,0.0,0.0,7430.774108934201,7430.774108934201
t939,0.0,0.0,0.0,5872.850208160626,5872.850208160626
t940,0.0,0.0,0.0,5813.51137746425,5813.51137746425
t941,0.0,0.0,0.0,6978.674735624661,6978.674735624661
t942,0.0,0.0,0.0,5785.792036269459,5785.792036269459
t943,0.0,0.0,0.0,0.0,0.0
