BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t47,22019.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-12940.0
t48,2728.2484116518563,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11808.0
t49,20136.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-11057.0
t50,19761.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-10682.0
t51,7380.332344746439,6100.709621800853,-2979.0419665472905,0.0,0.0,0.0,0.0,0.0,0.0,-10502.0
t52,18796.707884864896,403.5218517416226,-8676.229736606521,0.0,0.0,0.0,0.0,0.0,0.0,-10524.0
t53,19612.147629595427,184.30197937635828,-8895.449608971785,0.0,0.0,0.0,0.0,0.0,0.0,-10901.0
t54,21100.751588348146,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-12021.0
t55,14758.334620867785,4162.208483740181,-4917.543104607963,0.0,0.0,0.0,0.0,0.0,0.0,-14003.0
t56,11448.036009213449,6372.357789567348,-2707.393798780796,0.0,0.0,0.0,0.0,0.0,0.0,-15113.0
t57,12036.253926919113,6172.248830714516,-2907.502757633628,0.0,0.0,0.0,0.0,0.0,0.0,-15301.0
t58,13334.756633293779,5575.497477527183,-3504.2541108209607,0.0,0.0,0.0,0.0,0.0,0.0,-15406.0
t59,17699.136843319062,3462.307372514542,-5617.444215833601,0.0,0.0,0.0,0.0,0.0,0.0,-15544.0
t60,19329.28025743502,2660.235665456562,-6419.515922891582,0.0,0.0,0.0,0.0,0.0,0.0,-15570.0
t61,19729.93464251793,2428.4084729151073,-6651.3431154330365,0.0,0.0,0.0,0.0,0.0,0.0,-15507.0
t62,18983.677619920756,2790.536984213694,-6289.2146041344495,0.0,0.0,0.0,0.0,0.0,0.0,-15485.0
t63,16833.601034323157,3836.075277012494,-5243.676311335649,0.0,0.0,0.0,0.0,0.0,0.0,-15426.0
t64,16394.33462086778,4162.208483740181,-4917.543104607963,0.0,0.0,0.0,0.0,0.0,0.0,-15639.0
t65,7780.248411651856,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16860.0
t66,9115.248411651857,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18195.0
t67,11921.158349471061,7694.296619438541,-1385.4549689096025,0.0,0.0,0.0,0.0,0.0,0.0,-18230.0
t68,8844.248411651855,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17924.0
t69,26420.751588348146,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-17341.0
