Segment,1,Total
Zone,1,0
AnnualSum,3.053726898365111e-12,3.053726898365111e-12
t1,9.074838580198972e-15,9.074838580198972e-15
t2,9.07483858052209e-15,9.07483858052209e-15
t3,9.074838580509165e-15,9.074838580509165e-15
t4,9.074838580483315e-15,9.074838580483315e-15
t5,9.074838580366993e-15,9.074838580366993e-15
t6,9.074838580224821e-15,9.074838580224821e-15
t7,9.074838579901704e-15,9.074838579901704e-15
t8,9.074838579681984e-15,9.074838579681984e-15
t9,9.074838579526888e-15,9.074838579526888e-15
t10,9.074838578906502e-15,9.074838578906502e-15
t11,9.074838577510635e-15,9.074838577510635e-15
t12,9.076399798961325e-15,9.076399798961325e-15
t13,9.07639986616975e-15,9.07639986616975e-15
t14,9.074838574344084e-15,9.074838574344084e-15
t15,9.074838576308638e-15,9.074838576308638e-15
t16,9.074838576786852e-15,9.074838576786852e-15
t17,9.074838575714102e-15,9.074838575714102e-15
t18,9.074838577148744e-15,9.074838577148744e-15
t19,9.074838575856274e-15,9.074838575856274e-15
t20,9.074838570957814e-15,9.074838570957814e-15
t21,9.074838554362503e-15,9.074838554362503e-15
t22,9.074838576075994e-15,9.074838576075994e-15
t23,9.074838578622159e-15,9.074838578622159e-15
t24,9.074838579940478e-15,9.074838579940478e-15
t25,9.074838580560864e-15,9.074838580560864e-15
t26,9.07483858052209e-15,9.07483858052209e-15
t27,9.07483858049624e-15,9.07483858049624e-15
t28,9.074838580444541e-15,9.074838580444541e-15
t29,9.074838580418692e-15,9.074838580418692e-15
t30,9.074838580237746e-15,9.074838580237746e-15
t31,9.074838579940478e-15,9.074838579940478e-15
t32,9.074838577122894e-15,9.074838577122894e-15
t33,9.074838544591432e-15,9.074838544591432e-15
t34,9.093245477034746e-15,9.093245477034746e-15
t35,9.093243952515028e-15,9.093243952515028e-15
t36,9.093243924352113e-15,9.093243924352113e-15
t37,9.093243929521992e-15,9.093243929521992e-15
t38,9.089086630863996e-15,9.089086630863996e-15
t39,9.08908662983002e-15,9.08908662983002e-15
t40,9.093243975094473e-15,9.093243975094473e-15
t41,9.093243889701e-15,9.093243889701e-15
t42,9.093243894651159e-15,9.093243894651159e-15
t43,9.074838535970659e-15,9.074838535970659e-15
t44,9.074838578479987e-15,9.074838578479987e-15
t45,9.074838578092246e-15,9.074838578092246e-15
t46,9.074838579927553e-15,9.074838579927553e-15
t47,9.074838580198972e-15,9.074838580198972e-15
t48,9.074838580237746e-15,9.074838580237746e-15
t49,9.074838580457466e-15,9.074838580457466e-15
t50,9.074838580457466e-15,9.074838580457466e-15
t51,9.074838580444541e-15,9.074838580444541e-15
t52,9.074838580405767e-15,9.074838580405767e-15
t53,9.074838580354068e-15,9.074838580354068e-15
t54,9.074838580160198e-15,9.074838580160198e-15
t55,9.074838579785382e-15,9.074838579785382e-15
t56,9.074838574512105e-15,9.074838574512105e-15
t57,9.076399650572878e-15,9.076399650572878e-15
t58,9.076399637169967e-15,9.076399637169967e-15
t59,9.07639964174531e-15,9.07639964174531e-15
t60,9.07639964108615e-15,9.07639964108615e-15
t61,9.074838549683762e-15,9.074838549683762e-15
t62,9.07483857898405e-15,9.07483857898405e-15
t63,9.074838579410566e-15,9.074838579410566e-15
t64,9.07483857903575e-15,9.07483857903575e-15
t65,9.074838577006572e-15,9.074838577006572e-15
t66,9.074838574512105e-15,9.074838574512105e-15
t67,9.074838577846677e-15,9.074838577846677e-15
t68,9.07483857961736e-15,9.07483857961736e-15
t69,9.074838578893578e-15,9.074838578893578e-15
t70,9.074838580134349e-15,9.074838580134349e-15
t71,9.074838580366993e-15,9.074838580366993e-15
t72,9.074838580405767e-15,9.074838580405767e-15
t73,9.074838580328219e-15,9.074838580328219e-15
t74,9.074838580341144e-15,9.074838580341144e-15
t75,9.074838580328219e-15,9.074838580328219e-15
t76,9.074838580108499e-15,9.074838580108499e-15
t77,9.074838580108499e-15,9.074838580108499e-15
t78,9.074838579875855e-15,9.074838579875855e-15
t79,9.074838579281319e-15,9.074838579281319e-15
t80,9.076851432867861e-15,9.076851432867861e-15
t81,9.534998951075125e-15,9.534998951075125e-15
t82,9.534998947443285e-15,9.534998947443285e-15
t83,9.534998959476178e-15,9.534998959476178e-15
t84,9.53499896429709e-15,9.53499896429709e-15
t85,9.535003153346507e-15,9.535003153346507e-15
t86,9.074838549089226e-15,9.074838549089226e-15
t87,9.074838558989544e-15,9.074838558989544e-15
t88,9.074838545341064e-15,9.074838545341064e-15
t89,9.07639960564663e-15,9.07639960564663e-15
t90,9.07639960033458e-15,9.07639960033458e-15
t91,9.074838565542366e-15,9.074838565542366e-15
t92,9.074838578583385e-15,9.074838578583385e-15
t93,9.074838578479987e-15,9.074838578479987e-15
t94,9.074838580030951e-15,9.074838580030951e-15
t95,9.074838580341144e-15,9.074838580341144e-15
t96,9.074838580379918e-15,9.074838580379918e-15
t97,9.074838580638412e-15,9.074838580638412e-15
t98,9.074838580625487e-15,9.074838580625487e-15
t99,9.07483858071596e-15,9.07483858071596e-15
t100,9.074838580651336e-15,9.074838580651336e-15
t101,9.074838580664261e-15,9.074838580664261e-15
t102,9.074838580535014e-15,9.074838580535014e-15
t103,9.074838580341144e-15,9.074838580341144e-15
t104,9.074838579591511e-15,9.074838579591511e-15
t105,9.074838579345942e-15,9.074838579345942e-15
t106,9.074838579333017e-15,9.074838579333017e-15
t107,9.074838579164996e-15,9.074838579164996e-15
t108,9.074838578337816e-15,9.074838578337816e-15
t109,9.074838577833752e-15,9.074838577833752e-15
t110,9.074838578260267e-15,9.074838578260267e-15
t111,9.074838576541283e-15,9.074838576541283e-15
t112,9.074838530232093e-15,9.074838530232093e-15
t113,9.320823927120771e-15,9.320823927120771e-15
t114,1.0887941695622623e-14,1.0887941695622623e-14
