Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,0.0006677039024583108,1.1620548320934176e-5,0.0
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,0.00262612564773875,2.659906203916762e-5,0.0
battery_2,1,37572.75760074997,4812.999999994571,0.0
fixed_offshore_wind_2,1,1.166140532439944e6,5946.0,0.5836959883194505
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,7.284387636824312e6,36900.999999884494,0.587510504042276
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,277914.9492607087,1960.499999141215,0.4218963659999994
pumped_hydro_2,1,3353.507288397654,1101.2418267077094,0.0
