Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2
Zone,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,6394.446901764061,0.0,0.0,0.0,0.0,0.0,1.963018307887426e-10
t2,0.0,0.0,0.0,0.0,0.0,6417.341740864007,0.0,0.0,0.0,0.0,0.0,1.9523737460699411e-10
t3,0.0,0.0,0.0,0.0,0.0,6440.5148705250585,0.0,0.0,0.0,0.0,0.0,1.948149441710491e-10
t4,0.0,0.0,0.0,0.0,0.0,6464.066630381727,0.0,0.0,0.0,0.0,0.0,1.947732100845874e-10
t5,0.0,0.0,0.0,0.0,0.0,6487.138561169854,0.0,0.0,0.0,0.0,0.0,1.9492136973058364e-10
t6,0.0,0.0,0.0,0.0,0.0,6507.781574571248,0.0,0.0,0.0,0.0,0.0,1.9338218820953018e-10
t7,0.0,0.0,0.0,0.0,0.0,6528.9810862726345,0.0,0.0,0.0,0.0,0.0,1.9213247868020133e-10
t8,0.0,0.0,0.0,0.0,0.0,6551.486621415585,0.0,0.0,0.0,0.0,0.0,1.9201307846972198e-10
t9,0.0,0.0,0.0,0.0,0.0,6575.382878410849,0.0,0.0,0.0,0.0,0.0,1.92766183438873e-10
t10,0.0,0.0,0.0,0.0,0.0,6599.044943239832,0.0,0.0,0.0,0.0,0.0,1.937754659779567e-10
t11,0.0,0.0,0.0,0.0,0.0,6620.561716422554,0.0,0.0,0.0,0.0,0.0,1.9284668331261315e-10
t12,0.0,0.0,0.0,0.0,0.0,6642.029488565127,0.0,0.0,0.0,0.0,0.0,1.9261312395432987e-10
t13,0.0,0.0,0.0,0.0,0.0,6664.315911121772,0.0,0.0,0.0,0.0,0.0,1.9308966529124216e-10
t14,0.0,0.0,0.0,0.0,0.0,6688.432371312867,0.0,0.0,0.0,0.0,0.0,1.9408259714826373e-10
t15,0.0,0.0,0.0,0.0,0.0,6713.228477236793,0.0,0.0,0.0,0.0,0.0,1.9545777747163654e-10
t16,0.0,0.0,0.0,0.0,0.0,6735.494438330323,0.0,0.0,0.0,0.0,0.0,1.9469053895198525e-10
t17,0.0,0.0,0.0,0.0,0.0,6758.481634009489,0.0,0.0,0.0,0.0,0.0,1.9395661294759268e-10
t18,0.0,0.0,0.0,0.0,0.0,6782.134887580427,0.0,0.0,0.0,0.0,0.0,1.942234423413805e-10
t19,0.0,0.0,0.0,0.0,0.0,6805.891492684511,0.0,0.0,0.0,0.0,0.0,1.9595571834993213e-10
t20,0.0,0.0,0.0,0.0,0.0,6829.943753972346,0.0,0.0,0.0,0.0,0.0,1.9767183325253898e-10
t21,0.0,0.0,0.0,0.0,0.0,6852.147536534488,0.0,0.0,0.0,0.0,0.0,1.969041493704911e-10
t22,0.0,0.0,0.0,0.0,0.0,6874.779047609604,0.0,0.0,0.0,0.0,0.0,1.9602494227048233e-10
t23,0.0,0.0,0.0,0.0,0.0,6898.593703570941,0.0,0.0,0.0,0.0,0.0,1.9560881875755327e-10
t24,0.0,0.0,0.0,0.0,0.0,6923.197632068953,0.0,0.0,0.0,0.0,0.0,1.957170147591476e-10
t25,0.0,0.0,0.0,0.0,0.0,6947.453972926915,0.0,0.0,0.0,0.0,0.0,1.9586466458614684e-10
t26,0.0,0.0,0.0,0.0,0.0,6969.026061463303,0.0,0.0,0.0,0.0,0.0,1.941959980778735e-10
t27,0.0,0.0,0.0,0.0,0.0,6991.213310292179,0.0,0.0,0.0,0.0,0.0,1.9296770805521612e-10
t28,0.0,0.0,0.0,0.0,0.0,7014.489275201135,0.0,0.0,0.0,0.0,0.0,1.922903310461968e-10
t29,0.0,0.0,0.0,0.0,0.0,7038.884977873804,0.0,0.0,0.0,0.0,0.0,1.9218597927012565e-10
t30,0.0,0.0,0.0,0.0,0.0,7063.3853900592585,0.0,0.0,0.0,0.0,0.0,1.9248872294405255e-10
t31,0.0,0.0,0.0,0.0,0.0,7086.05483282739,0.0,0.0,0.0,0.0,0.0,1.909355528073837e-10
t32,0.0,0.0,0.0,0.0,0.0,7108.468704795731,0.0,0.0,0.0,0.0,0.0,1.9103504330442954e-10
t33,0.0,0.0,0.0,0.0,0.0,7131.944313670912,0.0,0.0,0.0,0.0,0.0,1.9223825713439299e-10
t34,0.0,0.0,0.0,0.0,0.0,7156.013580846972,0.0,0.0,0.0,0.0,0.0,1.9359511017200592e-10
t35,0.0,0.0,0.0,0.0,0.0,7180.234326127213,0.0,0.0,0.0,0.0,0.0,1.9476657426564796e-10
t36,0.0,0.0,0.0,0.0,0.0,7201.632039916486,0.0,0.0,0.0,0.0,0.0,1.9414374809554645e-10
t37,0.0,0.0,0.0,0.0,0.0,7223.907285084748,0.0,0.0,0.0,0.0,0.0,1.939673899788378e-10
t38,0.0,0.0,0.0,0.0,0.0,7248.550398041686,0.0,0.0,0.0,0.0,0.0,1.942421754374605e-10
t39,0.0,0.0,0.0,0.0,0.0,7275.135038721777,0.0,0.0,0.0,0.0,0.0,1.9524478017699435e-10
t40,0.0,0.0,0.0,0.0,0.0,7301.59588402808,0.0,0.0,0.0,0.0,0.0,1.9642918290581144e-10
t41,0.0,0.0,0.0,0.0,0.0,7324.004346077661,0.0,0.0,0.0,0.0,0.0,1.95245137187055e-10
t42,0.0,0.0,0.0,0.0,0.0,7357.808786273407,0.0,0.0,0.0,0.0,0.0,1.9445254247160947e-10
t43,0.0,0.0,0.0,0.0,0.0,7387.983959427012,0.0,0.0,0.0,0.0,0.0,1.9498671928343038e-10
t44,0.0,0.0,0.0,0.0,0.0,7412.102175748206,0.0,0.0,0.0,0.0,0.0,1.9576441366218965e-10
t45,0.0,0.0,0.0,0.0,0.0,7436.98770556262,0.0,0.0,0.0,0.0,0.0,1.9725295608225783e-10
