Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,5127.627599808629,73.94677121405402,0.20637542623499247
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,1.248820693681284e-8,8.731149137020111e-11,0.0
battery_2,1,25984.168199341217,3028.7855057217403,0.0
fixed_offshore_wind_2,1,1.510542192908257e6,5946.0,0.7560816159464231
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,7.7222565805475805e6,32522.93824193602,0.7066675931539949
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,2.1391315385699272e-9,1.4551915228366852e-11,0.0
pumped_hydro_2,1,2139.8394105768243,140.10618285362284,0.0
