Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2
t49,1.4582279083614219e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149395,0.0,0.0,0.0
t50,1.4633972500051986e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149417,0.0,0.0,0.0
t51,1.469813310629718e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149437,0.0,0.0,0.0
t52,1.4759690972311087e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149456,0.0,0.0,0.0
t53,1.483912058168059e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149479,0.0,0.0,0.0
t54,1.4935021347388797e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149502,0.0,0.0,0.0
t55,1.5033161485525128e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149526,0.0,0.0,0.0
t56,1.5155552277333698e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149543,0.0,0.0,0.0
t57,1.5300502946688857e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8010097014957,0.0,0.0,0.0
t58,1.5456196625716077e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149599,0.0,0.0,0.0
t59,1.5649210414547099e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149648,0.0,0.0,0.0
t60,1.5880893542450473e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149682,0.0,0.0,0.0
t61,1.61434455643075e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149721,0.0,0.0,0.0
t62,1.63443843393427e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149766,0.0,0.0,0.0
t63,1.6693028168087468e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149816,0.0,0.0,0.0
t64,1.7085124332606828e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149876,0.0,0.0,0.0
t65,1.7469039210307e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149728,0.0,0.0,0.0
t66,1.7403569362121783e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149739,0.0,0.0,0.0
t67,1.723099356613597e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149745,0.0,0.0,0.0
t68,1.740149328675095e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149907,0.0,0.0,0.0
t69,1.7330872331823457e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149905,0.0,0.0,0.0
t70,1.6818441814260493e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.801009701499,0.0,0.0,0.0
t71,1.654282047642755e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149942,0.0,0.0,0.0
t72,1.6232483452085751e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149937,0.0,0.0,0.0
t73,1.5952230275005123e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149931,0.0,0.0,0.0
t74,1.571435059363658e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149925,0.0,0.0,0.0
t75,1.5522150495270413e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149921,0.0,0.0,0.0
t76,1.534774412417257e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149917,0.0,0.0,0.0
t77,1.5202727477830119e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149917,0.0,0.0,0.0
t78,1.508564075643988e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149914,0.0,0.0,0.0
t79,1.4972854153950382e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149911,0.0,0.0,0.0
t80,1.4883299530265845e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8010097014991,0.0,0.0,0.0
t81,1.4812250720543207e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149907,0.0,0.0,0.0
t82,1.4737041523535034e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149905,0.0,0.0,0.0
