Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2
Zone,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,-47.283841118789965,0.0,0.0,0.0,0.0,0.0,-48.337955555554686
t2,0.0,0.0,0.0,0.0,0.0,-47.2871304347826,0.0,0.0,0.0,0.0,0.0,-48.33795555555545
t3,0.0,0.0,0.0,0.0,0.0,-47.28713043478259,0.0,0.0,0.0,0.0,0.0,-48.33795555555545
t4,0.0,0.0,0.0,0.0,0.0,-47.28713043478258,0.0,0.0,0.0,0.0,0.0,-48.337955555555446
t5,0.0,0.0,0.0,0.0,0.0,-47.28713043478258,0.0,0.0,0.0,0.0,0.0,-48.337955555555446
t6,0.0,0.0,0.0,0.0,0.0,-47.287130434782576,0.0,0.0,0.0,0.0,0.0,-48.33795555555543
t7,0.0,0.0,0.0,0.0,0.0,-47.287130434782576,0.0,0.0,0.0,0.0,0.0,-48.337955555555425
t8,0.0,0.0,0.0,0.0,0.0,-47.28713043478257,0.0,0.0,0.0,0.0,0.0,-48.33795555555542
t9,0.0,0.0,0.0,0.0,0.0,-47.28713043478256,0.0,0.0,0.0,0.0,0.0,-48.33795555555541
t10,0.0,0.0,0.0,0.0,0.0,-47.28713043478256,0.0,0.0,0.0,0.0,0.0,-48.3379555555554
t11,0.0,0.0,0.0,0.0,0.0,-47.28713043478255,0.0,0.0,0.0,0.0,0.0,-48.337955555555396
t12,0.0,0.0,0.0,0.0,0.0,-47.287130434782554,0.0,0.0,0.0,0.0,0.0,-48.337955555555396
t13,0.0,0.0,0.0,0.0,0.0,-47.287130434782554,0.0,0.0,0.0,0.0,0.0,-48.33795555555539
t14,0.0,0.0,0.0,0.0,0.0,-47.287130434782554,0.0,0.0,0.0,0.0,0.0,-48.33795555555539
t15,0.0,0.0,0.0,0.0,0.0,-47.287130434782554,0.0,0.0,0.0,0.0,0.0,-48.33795555555539
t16,0.0,0.0,0.0,0.0,0.0,-47.287130434782554,0.0,0.0,0.0,0.0,0.0,-48.33795555555539
t17,0.0,0.0,0.0,0.0,0.0,-47.28713043478255,0.0,0.0,0.0,0.0,0.0,-48.33795555555538
t18,0.0,0.0,0.0,0.0,0.0,-47.28713043478255,0.0,0.0,0.0,0.0,0.0,-48.33795555555538
t19,0.0,0.0,0.0,0.0,0.0,-47.28713043478255,0.0,0.0,0.0,0.0,0.0,-48.33795555555538
t20,0.0,0.0,0.0,0.0,0.0,-47.287130434782554,0.0,0.0,0.0,0.0,0.0,-48.33795555555538
t21,0.0,0.0,0.0,0.0,0.0,-47.28713043478255,0.0,0.0,0.0,0.0,0.0,-48.337955555555375
t22,0.0,0.0,0.0,0.0,0.0,-47.28713043478254,0.0,0.0,0.0,0.0,0.0,-48.33795555555537
t23,0.0,0.0,0.0,0.0,0.0,-47.28713043478254,0.0,0.0,0.0,0.0,0.0,-48.33795555555537
t24,0.0,0.0,0.0,0.0,0.0,-47.28713043478254,0.0,0.0,0.0,0.0,0.0,-48.33795555555537
t25,0.0,0.0,0.0,0.0,0.0,-47.28713043478253,0.0,0.0,0.0,0.0,0.0,-48.33795555555537
t26,0.0,0.0,0.0,0.0,0.0,-47.28713043478254,0.0,0.0,0.0,0.0,0.0,-48.33795555555537
t27,0.0,0.0,0.0,0.0,0.0,-47.28713043478254,0.0,0.0,0.0,0.0,0.0,-48.337955555555354
t28,0.0,0.0,0.0,0.0,0.0,-47.28713043478254,0.0,0.0,0.0,0.0,0.0,-48.337955555555354
t29,0.0,0.0,0.0,0.0,0.0,-47.28713043478254,0.0,0.0,0.0,0.0,0.0,-48.337955555555354
t30,0.0,0.0,0.0,0.0,0.0,-47.28713043478254,0.0,0.0,0.0,0.0,0.0,-48.337955555555354
t31,0.0,0.0,0.0,0.0,0.0,-47.28713043478254,0.0,0.0,0.0,0.0,0.0,-48.337955555555354
t32,0.0,0.0,0.0,0.0,0.0,-47.28713043478253,0.0,0.0,0.0,0.0,0.0,-48.337955555555354
t33,0.0,0.0,0.0,0.0,0.0,-47.28713043478253,0.0,0.0,0.0,0.0,0.0,-48.337955555555354
t34,0.0,0.0,0.0,0.0,0.0,-47.28713043478253,0.0,0.0,0.0,0.0,0.0,-48.337955555555354
t35,0.0,0.0,0.0,0.0,0.0,-47.28713043478253,0.0,0.0,0.0,0.0,0.0,-48.337955555555354
t36,0.0,0.0,0.0,0.0,0.0,-47.28713043478253,0.0,0.0,0.0,0.0,0.0,-48.337955555555354
t37,0.0,0.0,0.0,0.0,0.0,-47.287130434782526,0.0,0.0,0.0,0.0,0.0,-48.33795555555535
t38,0.0,0.0,0.0,0.0,0.0,-47.287130434782526,0.0,0.0,0.0,0.0,0.0,-48.33795555555535
t39,0.0,0.0,0.0,0.0,0.0,-47.287130434782526,0.0,0.0,0.0,0.0,0.0,-48.33795555555535
t40,0.0,0.0,0.0,0.0,0.0,-47.28713043478252,0.0,0.0,0.0,0.0,0.0,-48.33795555555535
t41,0.0,0.0,0.0,0.0,0.0,-47.28713043478252,0.0,0.0,0.0,0.0,0.0,-48.33795555555534
t42,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t43,0.0,0.0,0.0,0.0,0.0,-47.287130434782505,0.0,0.0,0.0,0.0,0.0,-48.337955555555325
t44,0.0,0.0,0.0,0.0,0.0,-47.287130434782505,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t45,0.0,0.0,0.0,0.0,0.0,-47.287130434782505,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t46,0.0,0.0,0.0,0.0,0.0,-47.287130434782505,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t47,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t48,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t49,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t50,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t51,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t52,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t53,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t54,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t55,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t56,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t57,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t58,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t59,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t60,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t61,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t62,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t63,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t64,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t65,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t66,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555533
t67,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.337955555555325
t68,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.337955555555325
t69,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.337955555555325
t70,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.337955555555325
t71,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.337955555555325
t72,0.0,0.0,0.0,0.0,0.0,-47.28713043478252,0.0,0.0,0.0,0.0,0.0,-48.33795555555532
t73,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555532
t74,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555532
t75,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555532
t76,0.0,0.0,0.0,0.0,0.0,-47.287130434782505,0.0,0.0,0.0,0.0,0.0,-48.33795555555532
t77,0.0,0.0,0.0,0.0,0.0,-47.2871304347825,0.0,0.0,0.0,0.0,0.0,-48.33795555555531
t78,0.0,0.0,0.0,0.0,0.0,-47.2871304347825,0.0,0.0,0.0,0.0,0.0,-48.33795555555531
t79,0.0,0.0,0.0,0.0,0.0,-47.2871304347825,0.0,0.0,0.0,0.0,0.0,-48.33795555555531
t80,0.0,0.0,0.0,0.0,0.0,-47.2871304347825,0.0,0.0,0.0,0.0,0.0,-48.33795555555531
t81,0.0,0.0,0.0,0.0,0.0,-47.2871304347825,0.0,0.0,0.0,0.0,0.0,-48.33795555555531
t82,0.0,0.0,0.0,0.0,0.0,-47.2871304347825,0.0,0.0,0.0,0.0,0.0,-48.33795555555532
t83,0.0,0.0,0.0,0.0,0.0,-47.2871304347825,0.0,0.0,0.0,0.0,0.0,-48.33795555555532
t84,0.0,0.0,0.0,0.0,0.0,-47.2871304347825,0.0,0.0,0.0,0.0,0.0,-48.33795555555532
t85,0.0,0.0,0.0,0.0,0.0,-47.287130434782505,0.0,0.0,0.0,0.0,0.0,-48.33795555555532
t86,0.0,0.0,0.0,0.0,0.0,-47.2871304347825,0.0,0.0,0.0,0.0,0.0,-48.33795555555532
t87,0.0,0.0,0.0,0.0,0.0,-47.2871304347825,0.0,0.0,0.0,0.0,0.0,-48.33795555555531
t88,0.0,0.0,0.0,0.0,0.0,-47.287130434782505,0.0,0.0,0.0,0.0,0.0,-48.33795555555531
t89,0.0,0.0,0.0,0.0,0.0,-47.287130434782505,0.0,0.0,0.0,0.0,0.0,-48.33795555555531
t90,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555531
t91,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555531
t92,0.0,0.0,0.0,0.0,0.0,-47.2871304347825,0.0,0.0,0.0,0.0,0.0,-48.33795555555531
t93,0.0,0.0,0.0,0.0,0.0,-47.287130434782505,0.0,0.0,0.0,0.0,0.0,-48.33795555555531
t94,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555531
t95,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555531
t96,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.33795555555531
t97,0.0,0.0,0.0,0.0,0.0,-47.287130434782505,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t98,0.0,0.0,0.0,0.0,0.0,-47.287130434782505,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t99,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t100,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t101,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t102,0.0,0.0,0.0,0.0,0.0,-47.287130434782505,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t103,0.0,0.0,0.0,0.0,0.0,-47.28713043478251,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t104,0.0,0.0,0.0,0.0,0.0,-47.28713043478252,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t105,0.0,0.0,0.0,0.0,0.0,-47.28713043478252,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t106,0.0,0.0,0.0,0.0,0.0,-47.28713043478252,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t107,0.0,0.0,0.0,0.0,0.0,-47.287130434782526,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t108,0.0,0.0,0.0,0.0,0.0,-47.287130434782526,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t109,0.0,0.0,0.0,0.0,0.0,-47.28713043478253,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t110,0.0,0.0,0.0,0.0,0.0,-47.28713043478254,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t111,0.0,0.0,0.0,0.0,0.0,-47.28713043478255,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t112,0.0,0.0,0.0,0.0,0.0,-47.287130434782554,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t113,0.0,0.0,0.0,0.0,0.0,-47.28713043478258,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t114,0.0,0.0,0.0,0.0,0.0,-47.28713043478259,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t115,0.0,0.0,0.0,0.0,0.0,-47.28713043478258,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t116,0.0,0.0,0.0,0.0,0.0,-47.287130434782576,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t117,0.0,0.0,0.0,0.0,0.0,-47.287130434782576,0.0,0.0,0.0,0.0,0.0,-48.33795555555528
t118,0.0,0.0,0.0,0.0,0.0,-47.28713043478257,0.0,0.0,0.0,0.0,0.0,-48.33795555555528
t119,0.0,0.0,0.0,0.0,0.0,-47.28713043478257,0.0,0.0,0.0,0.0,0.0,-48.33795555555528
t120,0.0,0.0,0.0,0.0,0.0,-47.28713043478256,0.0,0.0,0.0,0.0,0.0,-48.33795555555528
t121,0.0,0.0,0.0,0.0,0.0,-47.28713043478257,0.0,0.0,0.0,0.0,0.0,-48.33795555555528
t122,0.0,0.0,0.0,0.0,0.0,-47.28713043478256,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t123,0.0,0.0,0.0,0.0,0.0,-47.28713043478256,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t124,0.0,0.0,0.0,0.0,0.0,-47.28713043478256,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t125,0.0,0.0,0.0,0.0,0.0,-47.28713043478256,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t126,0.0,0.0,0.0,0.0,0.0,-47.28713043478257,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t127,0.0,0.0,0.0,0.0,0.0,-47.28713043478256,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t128,0.0,0.0,0.0,0.0,0.0,-47.28713043478257,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t129,0.0,0.0,0.0,0.0,0.0,-47.28713043478257,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t130,0.0,0.0,0.0,0.0,0.0,-47.28713043478257,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t131,0.0,0.0,0.0,0.0,0.0,-47.28713043478257,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t132,0.0,0.0,0.0,0.0,0.0,-47.28713043478257,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t133,0.0,0.0,0.0,0.0,0.0,-47.28713043478257,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t134,0.0,0.0,0.0,0.0,0.0,-47.287130434782576,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t135,0.0,0.0,0.0,0.0,0.0,-47.28713043478259,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t136,0.0,0.0,0.0,0.0,0.0,-47.28713043478267,0.0,0.0,0.0,0.0,0.0,-48.33795555555527
t137,0.0,0.0,0.0,0.0,0.0,-49.4121323456786,0.0,0.0,0.0,0.0,0.0,-48.3379555555553
t138,0.0,0.0,0.0,0.0,0.0,-49.412132345678614,0.0,0.0,0.0,0.0,0.0,-48.33795555555528
t139,0.0,0.0,0.0,0.0,0.0,-48.366893626419035,0.0,0.0,0.0,0.0,0.0,-48.33795555555528
t140,0.0,0.0,0.0,0.0,0.0,-47.287130434782604,0.0,0.0,0.0,0.0,0.0,-48.33795555555528
t141,0.0,0.0,0.0,0.0,0.0,-47.2871304347826,0.0,0.0,0.0,0.0,0.0,-48.33795555555528
t142,0.0,0.0,0.0,0.0,0.0,-47.28713043478259,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t143,0.0,0.0,0.0,0.0,0.0,-47.28713043478258,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t144,0.0,0.0,0.0,0.0,0.0,-47.287130434782576,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t145,0.0,0.0,0.0,0.0,0.0,-47.28713043478257,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t146,0.0,0.0,0.0,0.0,0.0,-47.28713043478257,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t147,0.0,0.0,0.0,0.0,0.0,-47.28713043478257,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t148,0.0,0.0,0.0,0.0,0.0,-47.28713043478256,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t149,0.0,0.0,0.0,0.0,0.0,-47.28713043478256,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t150,0.0,0.0,0.0,0.0,0.0,-47.28713043478256,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t151,0.0,0.0,0.0,0.0,0.0,-47.28713043478256,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
t152,0.0,0.0,0.0,0.0,0.0,-47.28713043478256,0.0,0.0,0.0,0.0,0.0,-48.337955555555276
