Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,3.3520544566247825e-8,6.366462912410498e-10,0.0
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,4.644440587611983e-8,5.475158104673028e-10,0.0
battery_2,1,24615.507415131415,3351.823723662709,0.0
fixed_offshore_wind_2,1,1.2137115330332313e6,5946.0,0.6075070140356619
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,7.642037820404739e6,31468.26995398925,0.7227648743649068
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,7.563357939943671e-9,4.75210981676355e-11,0.0
pumped_hydro_2,1,4635.191008377341,388.8944518676958,0.0
