Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2
t51,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t52,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t53,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t54,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t55,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t56,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t57,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t58,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t59,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t60,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t61,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t62,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t63,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t64,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t65,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t66,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t67,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t68,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t69,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t70,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t71,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t72,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t73,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t74,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t75,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t76,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t77,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
