Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,8.681328911887178e-9,1.6007106751203537e-10,0.0
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,9.072066946300182e-9,1.5279510989785194e-10,0.0
battery_2,1,31773.626797746303,4812.999999999998,0.0
fixed_offshore_wind_2,1,795883.3838609309,5946.0,0.3983687432232007
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,6.910314267869929e6,34774.752729615924,0.5914179080273447
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,4.698449629358947e-9,3.319655661471188e-11,0.0
pumped_hydro_2,1,795.2892320850859,265.09640849875314,0.0
