Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,1.2071421195170689e-5,2.412671165075153e-7,0.0
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,52397.29906729472,380.43716745543315,0.40990827343507386
battery_2,1,31053.93675879953,4812.999999999042,0.0
fixed_offshore_wind_2,1,1.1466777518912668e6,5946.0,0.5739541547995786
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,7.251237860304354e6,36900.999999984946,0.584836862427534
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,272742.90886196354,1960.49999941785,0.4140448089999995
pumped_hydro_2,1,734.640899959535,244.8800743911695,0.0
