BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,8.72305582013695e6,31788.57765875906,-37596.397841258055,0.0,0.0,0.0,1.9360521953289104e-8,0.0,0.0,-8.717248e6
t1,18950.880081431238,4.155255240694667e-7,-244.8800818475964,0.0,0.0,0.0,5.756883724432406e-11,0.0,0.0,-18706.0
t2,17441.83408012138,8.069338508218474e-6,-809.8340881907789,0.0,0.0,0.0,5.745389957541093e-11,0.0,0.0,-16632.0
t3,16200.53265379971,3.3454503273864024e-6,-439.53265714522,0.0,0.0,0.0,5.744372558626882e-11,0.0,0.0,-15761.0
t4,15507.881289738481,3.5741007390515623e-6,-345.8812933126392,0.0,0.0,0.0,5.747191119178854e-11,0.0,0.0,-15162.0
t5,15106.311092193053,2.875101068566161e-6,-300.3110950682144,0.0,0.0,0.0,5.749007450339171e-11,0.0,0.0,-14806.0
t6,15710.413520202394,2.2454831711168405e-6,-271.41352244793376,0.0,0.0,0.0,5.7454100131584216e-11,0.0,0.0,-15439.0
t7,15845.506021427354,2.127401332834695e-6,-223.5060235548109,0.0,0.0,0.0,5.752568195406057e-11,0.0,0.0,-15622.0
t8,15688.633971860829,2.033486974696711e-6,-212.6339738943735,0.0,0.0,0.0,5.753152364256467e-11,0.0,0.0,-15476.0
t9,17177.44903211391,1.929832210408149e-6,-204.44903404379855,0.0,0.0,0.0,5.75030625069094e-11,0.0,0.0,-16973.0
t10,19318.670988590387,1.8665572401013227e-6,-195.6709904570018,0.0,0.0,0.0,5.755055663451711e-11,0.0,0.0,-19123.0
t11,21637.590786262186,1.840205872137558e-6,-187.59078810245248,0.0,0.0,0.0,5.759815728334059e-11,0.0,0.0,-21450.0
t12,23847.781570492094,1.9577717835036593e-6,-169.78157244992514,0.0,0.0,0.0,5.761125146245687e-11,0.0,0.0,-23678.0
t13,25909.4040673007,1.9068214172047405e-6,-166.40406920757746,0.0,0.0,0.0,5.760228086774325e-11,0.0,0.0,-25743.0
t14,27039.21691869866,1.8290019857039933e-6,-164.21692052772542,0.0,0.0,0.0,5.756044933000566e-11,0.0,0.0,-26875.0
t15,28596.131006579635,1.7568007810623669e-6,-162.13100833649494,0.0,0.0,0.0,5.746876034424396e-11,0.0,0.0,-28434.0
t16,31084.011332670914,1.6963948938544838e-6,-159.01133436736993,0.0,0.0,0.0,5.7192904593828316e-11,0.0,0.0,-30925.0
t17,33816.65313714059,1.7749072380673346e-6,-145.65313891554553,0.0,0.0,0.0,5.698656984149893e-11,0.0,0.0,-33671.0
t18,33891.43636535919,1.6230026807582884e-6,-149.43636698224998,0.0,0.0,0.0,5.6847714043526026e-11,0.0,0.0,-33742.0
t19,36263.43226378605,1.9430634194201458e-6,-142.43226572917158,0.0,0.0,0.0,5.692286905230792e-11,0.0,0.0,-36121.0
t20,35978.277841540264,1.8971410758515189e-6,-155.27784343745543,0.0,0.0,0.0,5.692825542344046e-11,0.0,0.0,-35823.0
t21,33562.07944160275,1.3405610511226152e-6,-157.079442943369,0.0,0.0,0.0,5.6821916347817956e-11,0.0,0.0,-33405.0
t22,30579.32512431224,1.5475924566601309e-6,-146.32512585989352,0.0,0.0,0.0,5.696122126085896e-11,0.0,0.0,-30433.0
t23,27210.312905991363,1.548910609578928e-6,-150.31290754033265,0.0,0.0,0.0,5.704756772211651e-11,0.0,0.0,-27060.0
t24,24109.919265156954,1.4998225869072036e-6,-152.91926665683516,0.0,0.0,0.0,5.7259285438402596e-11,0.0,0.0,-23957.0
t25,19609.93270472024,1.4481383860768194e-6,-155.9327061684339,0.0,0.0,0.0,5.746885712024306e-11,0.0,0.0,-19454.0
t26,18053.75649172929,1.3957963935534968e-6,-157.75649312514494,0.0,0.0,0.0,5.7501864902175856e-11,0.0,0.0,-17896.0
t27,16996.803199493286,1.474225880820642e-6,-152.8032009675712,0.0,0.0,0.0,5.75493339966071e-11,0.0,0.0,-16844.0
t28,16565.047247381925,1.4377492047700893e-6,-156.04724881973112,0.0,0.0,0.0,5.7549613247290724e-11,0.0,0.0,-16409.0
t29,16200.503609209056,1.3765864475504737e-6,-160.50361058569902,0.0,0.0,0.0,5.7545647188296834e-11,0.0,0.0,-16040.0
t30,17239.775560681934,1.3044055527912863e-6,-165.77556198639624,0.0,0.0,0.0,5.74897600654745e-11,0.0,0.0,-17074.0
t31,18722.654357969568,1.2536618457941405e-6,-171.65435922329183,0.0,0.0,0.0,5.7444099349446694e-11,0.0,0.0,-18551.0
t32,21474.268639878966,1.3087168705052012e-6,-170.26864118774404,0.0,0.0,0.0,5.7407900037954214e-11,0.0,0.0,-21304.0
t33,23354.014856745773,1.2705775807862022e-6,-178.01485801640786,0.0,0.0,0.0,5.735936877177403e-11,0.0,0.0,-23176.0
t34,24328.48230948146,1.2753464458241117e-6,-185.48231075686687,0.0,0.0,0.0,5.750602553397351e-11,0.0,0.0,-24143.0
t35,25454.7010617379,1.2640563953053094e-6,-195.7010630020137,0.0,0.0,0.0,5.7569426195405205e-11,0.0,0.0,-25259.0
t36,26788.395340846335,1.235543528638063e-6,-210.3953420819354,0.0,0.0,0.0,5.7562634270282624e-11,0.0,0.0,-26578.0
t37,28061.060327447878,1.2989738697496497e-6,-223.06032874690771,0.0,0.0,0.0,5.7603302468099434e-11,0.0,0.0,-27838.0
t38,29238.967265364787,1.2770162754384336e-6,-254.9672666418656,0.0,0.0,0.0,5.756821494235696e-11,0.0,0.0,-28984.0
t39,31462.852781909067,1.2376235018288006e-6,-311.8527831467496,0.0,0.0,0.0,5.7353828912236713e-11,0.0,0.0,-31151.0
t40,35688.795029609486,1.3408418251437666e-6,-446.7950309503858,0.0,0.0,0.0,5.699356824006002e-11,0.0,0.0,-35242.0
t41,37840.21034972999,1678.7896514187814,-1.148819210022055e-6,0.0,0.0,0.0,5.685069462905963e-11,0.0,0.0,-39519.0
t42,37966.33301011479,3849.666991839371,-1.954219194411576e-6,0.0,0.0,0.0,5.68534824244574e-11,0.0,0.0,-41816.0
t43,38137.47025581977,638.5297455438388,-1.3636692621674854e-6,0.0,0.0,0.0,5.7035328997915326e-11,0.0,0.0,-38776.0
t44,33753.75546754597,1.2475904077925126e-6,-203.7554687936133,0.0,0.0,0.0,5.681081303940393e-11,0.0,0.0,-33550.0
t45,31322.481780091803,1.120259110781928e-6,-327.4817812121217,0.0,0.0,0.0,5.688407079167759e-11,0.0,0.0,-30995.0
t46,28155.97241686257,1.1250852092308009e-6,-278.9724179877125,0.0,0.0,0.0,5.6968083010333214e-11,0.0,0.0,-27877.0
t47,24620.709627236352,1.2379979808729144e-6,-222.70962847441194,0.0,0.0,0.0,5.72799118336723e-11,0.0,0.0,-24398.0
t48,22080.17208555344,1.2283152729977295e-6,-208.17208678181643,0.0,0.0,0.0,5.73784177753708e-11,0.0,0.0,-21872.0
t49,19840.470560456277,1.1992566459416892e-6,-197.47056165558965,0.0,0.0,0.0,5.7466330805571706e-11,0.0,0.0,-19643.0
t50,18071.330531508454,1.1619744002239186e-6,-189.33053267048723,0.0,0.0,0.0,5.7518575907686066e-11,0.0,0.0,-17882.0
t51,16965.879442744317,1.1344709759377508e-6,-182.87944387884687,0.0,0.0,0.0,5.7521442293864357e-11,0.0,0.0,-16783.0
t52,16454.365906539635,1.2174497715482571e-6,-166.36590775714333,0.0,0.0,0.0,5.756048252984767e-11,0.0,0.0,-16288.0
t53,15969.000154449026,1.199895264380964e-6,-163.00015564897862,0.0,0.0,0.0,5.755986881754592e-11,0.0,0.0,-15806.0
t54,16914.307804619955,1.1560624321879021e-6,-160.3078057760747,0.0,0.0,0.0,5.7537556769784386e-11,0.0,0.0,-16754.0
t55,18144.433028463205,1.111352457278201e-6,-158.4330295746187,0.0,0.0,0.0,5.74971170632322e-11,0.0,0.0,-17986.0
t56,20847.47654968629,1.0792635708803444e-6,-156.4765507656146,0.0,0.0,0.0,5.742163498112361e-11,0.0,0.0,-20691.0
t57,22623.767968731572,1.140357722426783e-6,-147.76796987199143,0.0,0.0,0.0,5.742374514692903e-11,0.0,0.0,-22476.0
t58,23493.069248234282,1.1711600054952055e-6,-146.06924940550402,0.0,0.0,0.0,5.753264269751962e-11,0.0,0.0,-23347.0
t59,24947.672524525235,1.179339964133968e-6,-144.67252570463594,0.0,0.0,0.0,5.75866630519799e-11,0.0,0.0,-24803.0
t60,26585.931880697244,1.1657267439284856e-6,-143.93188186302868,0.0,0.0,0.0,5.759417773654959e-11,0.0,0.0,-26442.0
t61,28412.977297299636,1.1465050011249278e-6,-143.97729844620233,0.0,0.0,0.0,5.761225281023622e-11,0.0,0.0,-28269.0
t62,30207.640879584782,1.2211107348567313e-6,-138.64088080595258,0.0,0.0,0.0,5.759915067518103e-11,0.0,0.0,-30069.0
t63,32810.148567836004,1.2062957157375383e-6,-139.1485690423625,0.0,0.0,0.0,5.749041644825019e-11,0.0,0.0,-32671.0
t64,36939.902455840594,1.1842294592451812e-6,-136.90245702487482,0.0,0.0,0.0,5.7051684734562093e-11,0.0,0.0,-36803.0
t65,41195.7137033368,1.7168052217342802e-6,-124.71370505366168,0.0,0.0,0.0,5.701484401625452e-11,0.0,0.0,-41071.0
t66,42612.6592326334,778.34076855983,-1.1933281029168246e-6,0.0,0.0,0.0,5.7076468768084543e-11,0.0,0.0,-43391.0
t67,40041.785217464945,1.2370930488678947e-6,-134.7852187020901,0.0,0.0,0.0,5.698557221622635e-11,0.0,0.0,-39907.0
t68,34545.39286151069,1.0844386185022345e-6,-139.39286259518164,0.0,0.0,0.0,5.70012082994556e-11,0.0,0.0,-34406.0
t69,31705.704644368783,1.1143749118219326e-6,-140.70464548321937,0.0,0.0,0.0,5.701139690844808e-11,0.0,0.0,-31565.0
t70,28545.450056515227,1.1043294243138382e-6,-141.4500576196129,0.0,0.0,0.0,5.725033973754827e-11,0.0,0.0,-28404.0
t71,25270.199272017107,1.0959250774168264e-6,-142.19927311309377,0.0,0.0,0.0,5.739792592907577e-11,0.0,0.0,-25128.0
t72,22878.01458238957,1.187030111781309e-6,-136.01458357665692,0.0,0.0,0.0,5.7507680662707996e-11,0.0,0.0,-22742.0
t73,20063.24298274067,1.1862796662017219e-6,-137.24298392700703,0.0,0.0,0.0,5.7542850955963386e-11,0.0,0.0,-19926.0
t74,18401.959235812752,1.1571255616334847e-6,-138.95923696993756,0.0,0.0,0.0,5.755549433012201e-11,0.0,0.0,-18263.0
t75,17339.23538302977,1.1216728764387445e-6,-141.2353841515015,0.0,0.0,0.0,5.7559982739229944e-11,0.0,0.0,-17198.0
t76,16761.502742678535,1.1005883376337755e-6,-143.5027437791798,0.0,0.0,0.0,5.7559261827984386e-11,0.0,0.0,-16618.0
t77,16322.258009768568,1.1773946418560658e-6,-140.25801094602022,0.0,0.0,0.0,5.758063181233606e-11,0.0,0.0,-16182.0
t78,17155.243717404635,1.1630768479238551e-6,-143.24371856776867,0.0,0.0,0.0,5.7567939540119285e-11,0.0,0.0,-17012.0
t79,18520.81972169517,1.1307720985011223e-6,-146.8197228260055,0.0,0.0,0.0,5.753961740104134e-11,0.0,0.0,-18374.0
t80,21145.73749268506,1.0885202000288845e-6,-150.73749377364362,0.0,0.0,0.0,5.748782303993442e-11,0.0,0.0,-20995.0
t81,22827.589401874215,1.0613046803336945e-6,-155.58940293557882,0.0,0.0,0.0,5.747075922370213e-11,0.0,0.0,-22672.0
t82,23694.508657279315,1.1596538676695467e-6,-153.50865843902864,0.0,0.0,0.0,5.754300346005548e-11,0.0,0.0,-23541.0
t83,25027.619256987353,1.1790108209382028e-6,-158.61925816642554,0.0,0.0,0.0,5.758572056663595e-11,0.0,0.0,-24869.0
t84,26591.98872551983,1.161432711001381e-6,-165.98872668132265,0.0,0.0,0.0,5.7588076528409715e-11,0.0,0.0,-26426.0
t85,28001.139648917135,1.1436373216278618e-6,-175.13965006083293,0.0,0.0,0.0,5.7595282049048673e-11,0.0,0.0,-27826.0
t86,29534.11711947678,1.1242894475187756e-6,-187.1171206011293,0.0,0.0,0.0,5.754561086210327e-11,0.0,0.0,-29347.0
t87,32005.987341610118,1.197447183791936e-6,-194.98734280762386,0.0,0.0,0.0,5.740526268147287e-11,0.0,0.0,-31811.0
t88,35675.82169178276,1.2274183639735565e-6,-209.82169301023396,0.0,0.0,0.0,5.701556229655088e-11,0.0,0.0,-35466.0
t89,38208.66144605083,1104.3385549663208,-1.017230435405628e-6,0.0,0.0,0.0,5.695031480476454e-11,0.0,0.0,-39313.0
t90,38121.5161380512,3187.483863292374,-1.3436547050407066e-6,0.0,0.0,0.0,5.6989788593788884e-11,0.0,0.0,-41309.0
t91,37972.82184943697,8.369813138928372e-7,-87.82185027395782,0.0,0.0,0.0,5.695027247164906e-11,0.0,0.0,-37885.0
t92,32898.269621984575,1.1217721233393856e-6,-240.26962310640852,0.0,0.0,0.0,5.6895931695703823e-11,0.0,0.0,-32658.0
t93,30235.642596965667,1.125469449021992e-6,-222.64259809119363,0.0,0.0,0.0,5.694044185968156e-11,0.0,0.0,-30013.0
t94,27186.807984138188,1.1288498956111922e-6,-215.80798526709833,0.0,0.0,0.0,5.702879969422572e-11,0.0,0.0,-26971.0
t95,23827.162170537384,1.1326995367151107e-6,-211.16217167014233,0.0,0.0,0.0,5.7350405558964076e-11,0.0,0.0,-23616.0
t96,21411.164899389536,1.113381318401497e-6,-206.16490050298,0.0,0.0,0.0,5.742907929973942e-11,0.0,0.0,-21205.0
t97,19056.434455262024,1.2043546699411642e-6,-186.4344564664423,0.0,0.0,0.0,5.753399144296427e-11,0.0,0.0,-18870.0
t98,17476.712375103118,1.1901940416020214e-6,-184.7123762933732,0.0,0.0,0.0,5.7550241596406903e-11,0.0,0.0,-17292.0
t99,16445.414832814935,1.149803675368503e-6,-184.41483396479356,0.0,0.0,0.0,5.754380910934151e-11,0.0,0.0,-16261.0
t100,15858.680777376958,1.1181900696486197e-6,-184.68077849520378,0.0,0.0,0.0,5.7550592865740416e-11,0.0,0.0,-15674.0
t101,15365.45338644295,1.0975414283531558e-6,-185.45338754054828,0.0,0.0,0.0,5.755348997681539e-11,0.0,0.0,-15180.0
t102,16346.864836622215,1.1736677782297413e-6,-174.86483779593996,0.0,0.0,0.0,5.7565316525966345e-11,0.0,0.0,-16172.0
t103,17627.386286934703,1.1609007253241292e-6,-176.38628809566035,0.0,0.0,0.0,5.753909468220733e-11,0.0,0.0,-17451.0
t104,20198.35930628207,1.1269449788446626e-6,-178.35930740907583,0.0,0.0,0.0,5.7490524880096964e-11,0.0,0.0,-20020.0
t105,22122.35882846289,1.0868440846372006e-6,-181.35882954979792,0.0,0.0,0.0,5.741199073951788e-11,0.0,0.0,-21941.0
t106,23225.623319312188,1.0886877238275938e-6,-182.62332040093693,0.0,0.0,0.0,5.746532018426041e-11,0.0,0.0,-23043.0
t107,24494.14338132225,1.1662559342926276e-6,-176.1433824885631,0.0,0.0,0.0,5.747597786028423e-11,0.0,0.0,-24318.0
t108,26047.352801551675,1.1710440967750014e-6,-179.35280272277802,0.0,0.0,0.0,5.7447831314478806e-11,0.0,0.0,-25868.0
t109,27392.221928376326,1.1352440931508133e-6,-185.22192951163296,0.0,0.0,0.0,5.735489037377312e-11,0.0,0.0,-27207.0
t110,28273.542033448994,1.1218694755075275e-6,-191.54203457092075,0.0,0.0,0.0,5.735489075836074e-11,0.0,0.0,-28082.0
t111,30441.205250425664,1.1162459522620617e-6,-197.2052515419731,0.0,0.0,0.0,5.715445264495124e-11,0.0,0.0,-30244.0
t112,34156.96777344394,1.2012779911671532e-6,-191.96777464526886,0.0,0.0,0.0,5.700828683372707e-11,0.0,0.0,-33965.0
