Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,6346.03362448883,93.55669962167303,0.20187763047610635
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,8.455171873246442e-8,5.020410753786564e-10,0.0
battery_2,1,34193.631565091615,3795.9878489912553,0.0
fixed_offshore_wind_2,1,1.360587712419187e6,5946.0,0.6810239138452355
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,8.180993564075796e6,32437.748017612244,0.7506129931695007
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,370679.34845275193,1960.4999999999998,0.562719891142857
pumped_hydro_2,1,6993.229043349878,388.8944518675769,0.0
