Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,8.184516454723703e-9,2.874003257602453e-10,0.0
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,5.250185836529457e-8,5.529727786779404e-10,0.0
battery_2,1,21281.858815626074,4465.851379771026,0.0
fixed_offshore_wind_2,1,1.2461749125392148e6,5946.0,0.6237561228332846
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,7.747239751171771e6,34716.10796099926,0.6641660750134972
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,3.1759554985910654e-9,2.1600499167107046e-11,0.0
pumped_hydro_2,1,620.5002683908068,132.58786398967095,0.0
