Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,8.972668876365343e-9,1.5279510989785194e-10,0.0
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,2.7632883032136416e-8,3.1468516681343317e-10,0.0
battery_2,1,9390.014813978061,4812.999999999999,0.0
fixed_offshore_wind_2,1,893738.0605202682,5946.0,0.4473485879464126
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,6.95073300981247e6,35861.62296223282,0.5768479973182631
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,7.639755494892597e-11,6.821210263296962e-13,0.0
pumped_hydro_2,1,631.0423337105424,220.50964401655074,0.0
