Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.143245437866123e-11,0.0,0.0,0.0,9.143245437866123e-11
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7939006709715899e-13,0.0,0.0,0.0,1.7939006709715899e-13
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8432106104367984e-13,0.0,0.0,0.0,1.8432106104367984e-13
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8784559205185266e-13,0.0,0.0,0.0,1.8784559205185266e-13
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.805953506512262e-13,0.0,0.0,0.0,1.805953506512262e-13
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8231511376725966e-13,0.0,0.0,0.0,1.8231511376725966e-13
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.874858813507487e-13,0.0,0.0,0.0,1.874858813507487e-13
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8117389311390432e-13,0.0,0.0,0.0,1.8117389311390432e-13
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834871672691769e-13,0.0,0.0,0.0,1.834871672691769e-13
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8600434115350076e-13,0.0,0.0,0.0,1.8600434115350076e-13
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8778703785744285e-13,0.0,0.0,0.0,1.8778703785744285e-13
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9022879900666373e-13,0.0,0.0,0.0,1.9022879900666373e-13
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9296333560543644e-13,0.0,0.0,0.0,1.9296333560543644e-13
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9474352756993268e-13,0.0,0.0,0.0,1.9474352756993268e-13
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9678382696874527e-13,0.0,0.0,0.0,1.9678382696874527e-13
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9849508679823338e-13,0.0,0.0,0.0,1.9849508679823338e-13
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.990794573038821e-13,0.0,0.0,0.0,1.990794573038821e-13
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9994068641890084e-13,0.0,0.0,0.0,1.9994068641890084e-13
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.10423822960192e-13,0.0,0.0,0.0,2.10423822960192e-13
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1469958420710954e-13,0.0,0.0,0.0,2.1469958420710954e-13
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2611128766743144e-13,0.0,0.0,0.0,2.2611128766743144e-13
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.355744391580792e-13,0.0,0.0,0.0,2.355744391580792e-13
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3578126361858846e-13,0.0,0.0,0.0,2.3578126361858846e-13
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.371336803447931e-13,0.0,0.0,0.0,2.371336803447931e-13
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.398996813846695e-13,0.0,0.0,0.0,2.398996813846695e-13
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.376614434104818e-13,0.0,0.0,0.0,2.376614434104818e-13
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4394802387969135e-13,0.0,0.0,0.0,2.4394802387969135e-13
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.417228179682401e-13,0.0,0.0,0.0,2.417228179682401e-13
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3895199036500654e-13,0.0,0.0,0.0,2.3895199036500654e-13
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.388274753972598e-13,0.0,0.0,0.0,2.388274753972598e-13
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3583573388895707e-13,0.0,0.0,0.0,2.3583573388895707e-13
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.351509164618825e-13,0.0,0.0,0.0,2.351509164618825e-13
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3719243521531333e-13,0.0,0.0,0.0,2.3719243521531333e-13
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4139399989092276e-13,0.0,0.0,0.0,2.4139399989092276e-13
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4382065836757574e-13,0.0,0.0,0.0,2.4382065836757574e-13
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4634420507325575e-13,0.0,0.0,0.0,2.4634420507325575e-13
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5180998286906075e-13,0.0,0.0,0.0,2.5180998286906075e-13
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.653997683400788e-13,0.0,0.0,0.0,2.653997683400788e-13
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.689002995865692e-13,0.0,0.0,0.0,2.689002995865692e-13
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.650096357108904e-13,0.0,0.0,0.0,2.650096357108904e-13
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.650884548253092e-13,0.0,0.0,0.0,2.650884548253092e-13
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.680847315963725e-13,0.0,0.0,0.0,2.680847315963725e-13
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9997695880404793e-13,0.0,0.0,0.0,2.9997695880404793e-13
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5877425972805853e-13,0.0,0.0,0.0,3.5877425972805853e-13
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.639697104698705e-13,0.0,0.0,0.0,3.639697104698705e-13
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.636258500404254e-13,0.0,0.0,0.0,3.636258500404254e-13
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5524107659245134e-13,0.0,0.0,0.0,3.5524107659245134e-13
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4753867594668155e-13,0.0,0.0,0.0,3.4753867594668155e-13
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4825670827451636e-13,0.0,0.0,0.0,3.4825670827451636e-13
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4554014940348953e-13,0.0,0.0,0.0,3.4554014940348953e-13
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4957376426379125e-13,0.0,0.0,0.0,3.4957376426379125e-13
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.621735531468619e-13,0.0,0.0,0.0,3.621735531468619e-13
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6217123562858077e-13,0.0,0.0,0.0,3.6217123562858077e-13
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6783534195382063e-13,0.0,0.0,0.0,3.6783534195382063e-13
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.729473508270946e-13,0.0,0.0,0.0,3.729473508270946e-13
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7576837514831776e-13,0.0,0.0,0.0,3.7576837514831776e-13
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8107660695419534e-13,0.0,0.0,0.0,3.8107660695419534e-13
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.845249569714581e-13,0.0,0.0,0.0,3.845249569714581e-13
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9840808245354943e-13,0.0,0.0,0.0,3.9840808245354943e-13
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0767515097156136e-13,0.0,0.0,0.0,4.0767515097156136e-13
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.221715107546405e-13,0.0,0.0,0.0,4.221715107546405e-13
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65546412598517e-13,0.0,0.0,0.0,4.65546412598517e-13
