Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,7.310015408218627e-9,1.6370904631912708e-10,0.0
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,6.180181664690848e-8,4.05634636990726e-10,0.0
battery_2,1,15674.598671475089,3399.361751674665,0.0
fixed_offshore_wind_2,1,1.4848347455981905e6,5946.0,0.7432140983124862
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,7.0784860861449065e6,32141.002035211954,0.6554532074747228
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,1.4406396076083183e-9,1.0231815394945443e-11,0.0
pumped_hydro_2,1,1523.1926270398776,151.46614362518767,0.0
