Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,1.9347909215509173e-8,0.0,0.0,1.6283491825082923e-7,14765.801810049885,1.4848347455981476e6,0.0,7.0779638706092015e6,0.0,1.6616468201391399e-9,7.939269751142796e-8,8.577564418017663e6
t1,0.0,0.0,0.0,0.0,2.5011867178953e-10,1.2362707266229244e-9,2657.9315265777705,0.0,18960.11812507424,0.0,4.320099833421409e-12,2.203602532069407e-10,21618.049651653724
t2,0.0,0.0,0.0,0.0,1.998845691292636e-10,1.243487764355305e-9,2445.67763431177,0.0,17088.4901137357,0.0,4.320099833421409e-12,2.187350407180931e-10,19534.167748049138
t3,0.0,0.0,0.0,0.0,2.923552714399972e-10,1.2425548846222346e-9,2153.5571176137696,0.0,17128.317790211804,0.0,4.320099833421409e-12,2.1737517239104882e-10,19281.87490782733
t4,0.0,0.0,0.0,0.0,3.293013530339712e-10,1.2415078039289134e-9,2007.4643851857688,0.0,17510.754222029434,0.0,4.320099833421409e-12,2.1593220240373555e-10,19518.218607216993
t5,0.0,0.0,0.0,0.0,2.5912388811560563e-10,1.2416382326055598e-9,1997.2658535537687,0.0,17906.76670541118,0.0,4.320099833421409e-12,2.1443231289548928e-10,19904.032558966668
t6,0.0,0.0,0.0,0.0,2.380141496859449e-10,1.2436822585654287e-9,2144.8461205857693,0.0,19047.33895713311,0.0,4.320099833421409e-12,2.239156528176084e-10,21192.18507772059
t7,0.0,7.533067658052853e-12,0.0,0.0,1.763571107398822e-10,1.244333354829167e-9,1769.055305417768,0.0,20770.85745895076,0.0,4.320099833421409e-12,2.2239197967418e-10,22539.91276437018
t8,0.0,5.707955590512311e-11,0.0,0.0,1.569517919870821e-10,1.2422513421258613e-9,1626.9279544437672,0.0,22086.375089103938,0.0,4.320099833421409e-12,2.2050388759445287e-10,23713.303043549386
t9,0.0,1.3253927555573986e-10,0.0,0.0,1.287717802518147e-10,1.2421602171023035e-9,1342.2255008577656,0.0,23612.94842911918,0.0,4.320099833421409e-12,2.187679080780943e-10,24955.17392997867
t10,0.0,2.256103987124964e-10,0.0,0.0,1.682884117409598e-10,1.2447133833931318e-9,1190.981237273765,0.0,26037.32719979408,0.0,4.320099833421409e-12,2.1715876948893246e-10,27228.308437069703
t11,0.0,2.966490107439147e-10,0.0,0.0,1.2644409599215928e-10,1.247544468563776e-9,877.5464095137629,0.0,27587.706633767964,0.0,4.320099833421409e-12,2.2740938556997396e-10,28465.253043283632
t12,0.0,2.9290518316739493e-10,0.0,0.0,6.580533371936374e-11,1.2993950716252325e-9,549.2874545577604,0.0,29181.627043771074,0.0,4.320099833421409e-12,2.2587541388842352e-10,29730.91449833072
t13,0.0,2.963021785448062e-10,0.0,0.0,6.83674464768027e-11,1.2548760562519813e-9,308.9948841537575,0.0,29996.980922398423,0.0,4.320099833421409e-12,2.24378076629996e-10,30305.97580655403
t14,0.0,2.7788070968654067e-10,0.0,0.0,7.4347530842317e-11,1.2512838897616136e-9,212.62629024575548,0.0,28446.282208865894,0.0,4.320099833421409e-12,2.2216184099499396e-10,28658.908499113477
t15,0.0,1.2846157454826248e-10,0.0,0.0,8.537723170356796e-11,1.2469362673001896e-9,145.85991679775313,0.0,27578.04884933519,0.0,4.320099833421409e-12,2.1829894498630366e-10,27723.908766134628
t16,0.0,3.1440979673770584e-11,0.0,0.0,1.5429668041699154e-10,1.2470247934036838e-9,164.02195001375327,0.0,26860.55201660713,0.0,4.320099833421409e-12,2.2641115936646986e-10,27024.573966622545
