Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,1.7714089160260512e-9,4.3655745685100555e-11,0.0
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,4.930121991686365e-9,4.729372449219227e-11,0.0
battery_2,1,16373.77673170025,2582.873583866623,0.0
fixed_offshore_wind_2,1,1.452822444005879e6,5946.0,0.7271907705089251
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,6.385241760814997e6,27989.940044373478,0.678947353462853
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,1.5279510989785194e-10,1.1368683772161603e-12,0.0
pumped_hydro_2,1,1968.6504332275674,163.74718229741643,0.0
