Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,1.7714089160260512e-9,0.0,0.0,4.930121991686365e-9,16373.77673170025,1.452822444005879e6,0.0,6.385241760814997e6,0.0,1.5279510989785194e-10,1968.6504332275674,7.856406631985811e6
t1,0.0,0.0,0.0,0.0,2.32776102876275e-11,3.5834373249896774e-11,5945.999999999976,0.0,10365.747310925915,0.0,4.547473508864641e-13,1.1269727707544392e-10,16311.747310926065
t2,0.0,0.0,0.0,0.0,2.3218904279956473e-11,2.758965125520923e-10,5945.999999999975,0.0,8371.149184362428,0.0,4.547473508864641e-13,5.2555823185214425e-9,14317.149184367958
t3,0.0,0.0,0.0,0.0,2.6117692449772474e-11,1.3516256268949215e-10,5945.999999999976,0.0,7707.325015326324,0.0,4.547473508864641e-13,2.1182651833235803e-9,13653.32501532858
t4,0.0,0.0,0.0,0.0,1.9832086397424043e-11,1.2538186023690892e-10,5945.999999999976,0.0,7459.819081070953,0.0,4.547473508864641e-13,3.9537051938124397e-10,13405.81908107147
t5,0.0,0.0,0.0,0.0,1.8973068571836498e-11,1.2148026910351783e-10,5945.999999999976,0.0,7427.864602471022,0.0,4.547473508864641e-13,1.560101704633571e-10,13373.864602471294
t6,0.0,0.0,0.0,0.0,1.7454351708081144e-11,1.2152855251755443e-10,5945.999999999976,0.0,8394.753447293482,0.0,4.547473508864641e-13,1.2405913088620174e-10,14340.753447293722
t7,0.0,5.925221445524906e-13,0.0,0.0,1.682416933316516e-11,1.4398579597850257e-10,5932.7213036099765,0.0,9250.377375451057,0.0,4.547473508864641e-13,1.295379860126076e-10,15183.098679061322
t8,0.0,4.85245376207615e-12,0.0,0.0,1.6759053559455327e-11,1.4584294430148875e-10,5907.059122751975,0.0,9935.031592581752,0.0,4.547473508864641e-13,1.397249363829502e-10,15842.090715334036
t9,0.0,1.0855433219543915e-11,0.0,0.0,1.1882881928857567e-11,1.4416962196183614e-10,5496.5776073519755,0.0,11150.376145755587,0.0,4.547473508864641e-13,1.4161609880955534e-10,16646.95375310787
t10,0.0,1.8807515437670003e-11,0.0,0.0,6.222640085538105e-12,1.4192993993275093e-10,4555.4629340039755,0.0,14231.614292431072,0.0,4.547473508864641e-13,1.4066200562965148e-10,18787.077226435355
t11,0.0,2.4808616572451498e-11,0.0,0.0,3.4089232585674277e-12,1.4142279457179947e-10,3329.3541498239756,0.0,17033.688260567425,0.0,4.547473508864641e-13,1.4211959723061978e-10,20363.042410391714
t12,0.0,2.530675723712683e-11,0.0,0.0,3.597929116829548e-12,1.5980659484915691e-10,2055.2167171319757,0.0,19841.412696939704,0.0,4.547473508864641e-13,1.490681116758202e-10,21896.629414072017
t13,0.0,2.002876817722737e-11,0.0,0.0,5.6270016645243645e-12,1.6167083856119412e-10,1266.4140662639759,0.0,21977.191003791802,0.0,4.547473508864641e-13,1.4694971966838307e-10,23243.60507005611
