Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,1.8818602470579997e6,22000.0,0.25458066112797617
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,1.4860292222104893e-10,1.8189894035458565e-12,0.0
battery_2,1,52774.701698458106,4585.742996702497,0.0
fixed_offshore_wind_2,1,1.0420042445137975e6,5946.0,0.5215612359017855
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,5.968567600298565e6,36901.0,0.4813851670282007
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,265173.8189025238,1960.5,0.4025543454999997
pumped_hydro_2,1,7250.155193213196,1798.0,0.0
