Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,4.439273702074366e-9,1.2005330063402653e-10,0.0
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,2.2493267585909125e-8,2.2373569663614035e-10,0.0
battery_2,1,12280.635653422501,4465.851379768881,0.0
fixed_offshore_wind_2,1,1.2643329614655375e6,5946.0,0.6328448904553369
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,7.912555925589791e6,34713.79252271381,0.6783837741916608
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,1.4133547665551305e-9,9.549694368615746e-12,0.0
pumped_hydro_2,1,632.077464238008,134.90330227135155,0.0
