BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.10356432384649e7,12746.907790798574,-15060.146255669495,0.0,0.0,0.0,5.5941307300504475e-12,0.0,0.0,-1.103333e7
t1,27355.000000001288,2.495688490311809e-10,-1.544190649221877e-9,0.0,0.0,0.0,1.6623667487620483e-14,0.0,0.0,-27355.0
t2,26229.000000001368,2.384653110257481e-10,-1.6133911931812408e-9,0.0,0.0,0.0,1.6623667450255184e-14,0.0,0.0,-26229.0
t3,26065.0000000015,2.1944006577660968e-10,-1.7193167521290186e-9,0.0,0.0,0.0,1.662366744014161e-14,0.0,0.0,-26065.0
t4,26215.000000001557,2.0364646086630146e-10,-1.763965139146874e-9,0.0,0.0,0.0,1.662366746760336e-14,0.0,0.0,-26215.0
t5,26870.00000000155,1.9620207635199532e-10,-1.7507020941051267e-9,0.0,0.0,0.0,1.6623667453344187e-14,0.0,0.0,-26870.0
t6,28226.000000001222,2.2020639270177646e-10,-1.4470242046910115e-9,0.0,0.0,0.0,1.662366739842715e-14,0.0,0.0,-28226.0
t7,30414.00000000136,2.1465661768561317e-10,-1.5790263928463656e-9,0.0,0.0,0.0,1.662366735985016e-14,0.0,0.0,-30414.0
t8,32168.000000001586,1.9880948556883943e-10,-1.7907074213061397e-9,0.0,0.0,0.0,1.66236673037182e-14,0.0,0.0,-32168.0
t9,33865.000000001746,1.8451496206501296e-10,-1.9442285833593106e-9,0.0,0.0,0.0,1.6623667249379542e-14,0.0,0.0,-33865.0
t10,35821.00000000179,1.79259217676725e-10,-1.967927286707439e-9,0.0,0.0,0.0,1.6623667218159936e-14,0.0,0.0,-35821.0
t11,36524.00000000148,1.9192512356326242e-10,-1.665724738514611e-9,0.0,0.0,0.0,1.662366728030188e-14,0.0,0.0,-36524.0
t12,38010.000000001666,1.8829866848698857e-10,-1.8486334399604778e-9,0.0,0.0,0.0,1.6623667129192784e-14,0.0,0.0,-38010.0
t13,37831.000000001884,1.777653695762256e-10,-2.0517396185151547e-9,0.0,0.0,0.0,1.662366716346908e-14,0.0,0.0,-37831.0
t14,34688.000000001775,1.6311289220235113e-10,-1.9432309521100083e-9,0.0,0.0,0.0,1.6623667331083015e-14,0.0,0.0,-34688.0
t15,33252.00000000165,1.5806723533766075e-10,-1.8167608186727475e-9,0.0,0.0,0.0,1.6623667340488963e-14,0.0,0.0,-33252.0
t16,31621.000000001346,1.7095692886189643e-10,-1.5209885671337656e-9,0.0,0.0,0.0,1.662366733412032e-14,0.0,0.0,-31621.0
t17,31785.00000000144,1.6486425013995472e-10,-1.6106287514126924e-9,0.0,0.0,0.0,1.6623667284525025e-14,0.0,0.0,-31785.0
t18,32116.000000001608,1.5294130702799872e-10,-1.768406889861921e-9,0.0,0.0,0.0,1.6623667255709413e-14,0.0,0.0,-32116.0
t19,36386.00000000257,1.361943173621863e-10,-2.706515815136919e-9,0.0,0.0,0.0,1.662366661833767e-14,0.0,0.0,-36386.0
t20,36661.00000000247,1.36496401710108e-10,-2.6061188797305183e-9,0.0,0.0,0.0,1.662366677562477e-14,0.0,0.0,-36661.0
t21,36124.00000000157,1.4221741320520596e-10,-1.710334836199552e-9,0.0,0.0,0.0,1.6623666933687354e-14,0.0,0.0,-36124.0
t22,34771.00000000153,1.3968660958260875e-10,-1.663408820393302e-9,0.0,0.0,0.0,1.662366716195689e-14,0.0,0.0,-34771.0
