Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,1.19435838996651e-9,0.0,0.0,2.3338830650388664e-9,0.0,5.0855604172284075e-9,0.0,0.0,0.0,0.0,0.0,8.613801872233783e-9
t1,0.0,0.0,0.0,0.0,7.045481315354065e-12,0.0,1.546140993013978e-11,0.0,0.0,0.0,0.0,0.0,2.2506891245493845e-11
t2,0.0,0.0,0.0,0.0,7.343387365024298e-12,0.0,1.546140993013978e-11,0.0,0.0,0.0,0.0,0.0,2.2804797295164078e-11
t3,0.0,0.0,0.0,0.0,5.943016737662927e-12,0.0,1.546140993013978e-11,0.0,0.0,0.0,0.0,0.0,2.1404426667802707e-11
t4,0.0,0.0,0.0,0.0,4.429403355344799e-12,0.0,1.546140993013978e-11,0.0,0.0,0.0,0.0,0.0,1.989081328548458e-11
t5,0.0,0.0,0.0,0.0,4.821415786933631e-12,0.0,1.546140993013978e-11,0.0,0.0,0.0,0.0,0.0,2.028282571707341e-11
t6,0.0,0.0,0.0,0.0,4.125086980652063e-12,0.0,1.5006662579253316e-11,0.0,0.0,0.0,0.0,0.0,1.9131749559905378e-11
t7,0.0,0.0,0.0,0.0,4.061502075197228e-12,0.0,1.5006662579253316e-11,0.0,0.0,0.0,0.0,0.0,1.9068164654450546e-11
t8,0.0,1.5234036254696548e-11,0.0,0.0,4.1259792876576835e-12,0.0,1.5006662579253316e-11,0.0,0.0,0.0,0.0,0.0,3.4366678121607546e-11
t9,0.0,1.4551915228366852e-11,0.0,0.0,3.4484252160541707e-12,0.0,1.5006662579253316e-11,0.0,0.0,0.0,0.0,0.0,3.300700302367434e-11
t10,0.0,1.3642420526593924e-11,0.0,0.0,3.1425941614088294e-12,0.0,1.5006662579253316e-11,0.0,0.0,0.0,0.0,0.0,3.1791677267256065e-11
t11,0.0,1.7280399333685637e-11,0.0,0.0,1.5567991299293586e-12,0.0,1.5006662579253316e-11,0.0,0.0,0.0,0.0,0.0,3.384386104286831e-11
t12,0.0,1.546140993013978e-11,0.0,0.0,1.3560134181590236e-12,0.0,1.5006662579253316e-11,0.0,0.0,0.0,0.0,0.0,3.1824085927552116e-11
t13,0.0,1.3642420526593924e-11,0.0,0.0,1.7895964143201874e-12,0.0,1.5120349416974932e-11,0.0,0.0,0.0,0.0,0.0,3.0552366357889046e-11
t14,0.0,1.3642420526593924e-11,0.0,0.0,1.875051698637586e-12,0.0,1.5120349416974932e-11,0.0,0.0,0.0,0.0,0.0,3.0637821642206445e-11
t15,0.0,1.7280399333685637e-11,0.0,0.0,2.7589960272353562e-12,0.0,1.5120349416974932e-11,0.0,0.0,0.0,0.0,0.0,3.5159744777895924e-11
t16,0.0,1.3642420526593924e-11,0.0,0.0,3.687142488709601e-12,0.0,1.5120349416974932e-11,0.0,0.0,0.0,0.0,0.0,3.244991243227846e-11
