Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,3.6515941739927387e-9,6.184563972055912e-11,0.0
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,3.6015158005239735e-9,4.547473508864641e-11,0.0
battery_2,1,26298.268401165973,4813.0,0.0
fixed_offshore_wind_2,1,1.097872938459907e6,5946.0,0.5495255606309498
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,7.372024434265095e6,36901.0,0.5945787082058279
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,268309.73142338323,1960.4999999999986,0.4073149029999991
pumped_hydro_2,1,6316.463393400065,1676.6424804504654,0.0
