Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,4.937563394478927e-8,9.858922567218542e-10,0.0
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,1.5607164868802323e-7,2.2755557438358665e-9,0.0
battery_2,1,20160.901931822304,4813.0,0.0
fixed_offshore_wind_2,1,1.0084515685817963e6,5946.0,0.5047668944016968
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,7.007248291594809e6,36900.99999999998,0.5651582783595693
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,278653.7769796117,1960.4999999969364,0.42301796337797565
pumped_hydro_2,1,3303.725509279658,1101.2418362943977,0.0
