Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,1.5216144110247896e-9,5.4569682106375694e-11,0.0
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,8.410407770460997e-8,5.893525667488575e-10,0.0
battery_2,1,44759.93398627543,4707.000000000581,0.0
fixed_offshore_wind_2,1,1.4793401422947326e6,5946.0,0.7404638483928435
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,9.370328582914185e6,36900.99999999922,0.755748697521617
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,148623.9577803001,994.4690240398911,0.44479334899999984
pumped_hydro_2,1,438.6671705131833,109.66679232079696,0.0
