Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2
Zone,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,4700.7285322666785,0.0,0.0,0.0,0.0,0.0,4102.8883141648175
t2,0.0,0.0,0.0,0.0,0.0,4816.27371678903,0.0,0.0,0.0,0.0,0.0,4102.8883141644565
t3,0.0,0.0,0.0,0.0,0.0,4932.777775573128,0.0,0.0,0.0,0.0,0.0,4102.888314164102
t4,0.0,0.0,0.0,0.0,0.0,5020.908917405216,0.0,0.0,0.0,0.0,0.0,4102.888314164082
t5,0.0,0.0,0.0,0.0,0.0,5117.795638435873,0.0,0.0,0.0,0.0,0.0,4102.888314164073
t6,0.0,0.0,0.0,0.0,0.0,5212.419037764001,0.0,0.0,0.0,0.0,0.0,4102.8883141640645
t7,0.0,0.0,0.0,0.0,0.0,5294.269549794002,0.0,0.0,0.0,0.0,0.0,4102.888314164051
t8,0.0,0.0,0.0,0.0,0.0,5375.244477496789,0.0,0.0,0.0,0.0,0.0,4102.888314166664
t9,0.0,0.0,0.0,0.0,0.0,5456.950031887991,0.0,0.0,0.0,0.0,0.0,4102.88831416665
t10,0.0,0.0,0.0,0.0,0.0,5542.1929404919465,0.0,0.0,0.0,0.0,0.0,4102.888314166638
t11,0.0,0.0,0.0,0.0,0.0,5629.433602857225,0.0,0.0,0.0,0.0,0.0,4102.888314166627
t12,0.0,0.0,0.0,0.0,0.0,5708.6376189298935,0.0,0.0,0.0,0.0,0.0,4102.888314166616
t13,0.0,0.0,0.0,0.0,0.0,5792.308794519801,0.0,0.0,0.0,0.0,0.0,4102.888314153802
t14,0.0,0.0,0.0,0.0,0.0,5877.58031460186,0.0,0.0,0.0,0.0,0.0,4102.8883141537935
t15,0.0,0.0,0.0,0.0,0.0,5970.299165344458,0.0,0.0,0.0,0.0,0.0,4102.888314153789
t16,0.0,0.0,0.0,0.0,0.0,6065.610354358462,0.0,0.0,0.0,0.0,0.0,4102.888314153786
t17,0.0,0.0,0.0,0.0,0.0,6145.426422686831,0.0,0.0,0.0,0.0,0.0,4102.888314153782
t18,0.0,0.0,0.0,0.0,0.0,6232.3779462676175,0.0,0.0,0.0,0.0,0.0,4102.888314155823
t19,0.0,0.0,0.0,0.0,0.0,6320.983790033549,0.0,0.0,0.0,0.0,0.0,4102.888314155819
t20,0.0,0.0,0.0,0.0,0.0,6417.078849068497,0.0,0.0,0.0,0.0,0.0,4102.888314155818
t21,0.0,0.0,0.0,0.0,0.0,6517.271667921663,0.0,0.0,0.0,0.0,0.0,4102.888314155818
t22,0.0,0.0,0.0,0.0,0.0,6598.444562472582,0.0,0.0,0.0,0.0,0.0,4102.888314155815
t23,0.0,0.0,0.0,0.0,0.0,6681.438167568621,0.0,0.0,0.0,0.0,0.0,4102.888314159055
t24,0.0,0.0,0.0,0.0,0.0,6767.521068141868,0.0,0.0,0.0,0.0,0.0,4102.888314159055
t25,0.0,0.0,0.0,0.0,0.0,6854.836783162484,0.0,0.0,0.0,0.0,0.0,4102.888314159056
