Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,4.2316144156417276e-10,7.275957614183426e-12,0.0
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,5.191974094960661e-10,7.275957614183426e-12,0.0
battery_2,1,49613.96330034682,4813.0,0.0
fixed_offshore_wind_2,1,996682.4806193446,5946.0,0.49887603541964215
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,6.565099136810135e6,29270.875208203666,0.6675231057233473
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,3.8198777474462986e-11,2.2737367544323206e-13,0.0
pumped_hydro_2,1,1470.5730374275392,341.907359513174,0.0
