Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,3.74642194271805e-7,7.363269105553627e-9,0.0
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,5.676420752443543e-7,9.549694368615746e-9,0.0
battery_2,1,37513.75176772856,4812.999999999185,0.0
fixed_offshore_wind_2,1,929973.3092395631,5946.0,0.4654856552422012
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,6.550803577351376e6,30128.32170215022,0.6471133510538767
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,5.309630068950355e-9,4.297362465877086e-11,0.0
pumped_hydro_2,1,622.8388052900406,207.61291077232363,0.0
